year,month,rank,net_worth,last_name,first_name,full_name,birth_date,age,gender,country_of_citizenship,country_of_residence,city_of_residence,business_category,business_industries,organization_name,position_in_organization,self_made,wealth_status
2014,3,1565,1.0 B,Bennett,Angela,Angela Bennett,1945-01-01,69,Female,Australia,Australia,Perth,Metals & Mining,['Metals & Mining'],,,False,Returned to List
2014,3,1565,1.0 B,Biondi,O. Francis,O. Francis Biondi,1964-07-04,49,Male,United States,United States,New York,Finance and Investments,['Finance and Investments'],,,True,
2014,3,1565,1.0 B,Blakely,Sara,Sara Blakely,1971-02-27,43,Female,United States,United States,Atlanta,Fashion and Retail,['Fashion and Retail'],Spanx,Founder,True,Remained Even
2014,3,1565,1.0 B,Burch,Christopher,Christopher Burch,1953-03-28,60,Male,United States,United States,New York,Fashion and Retail,['Fashion and Retail'],,,True,Remained Even
2014,3,1565,1.0 B,Burch,Tory,Tory Burch,1966-06-17,47,Female,United States,United States,New York,Fashion and Retail,['Fashion and Retail'],Tory Burch,CEO,True,Remained Even
2014,3,1565,1.0 B,Chan,Ina,Ina Chan,1954-03-01,60,Female,Hong Kong,Hong Kong,,Gaming,['Gaming'],,,False,
2014,3,1565,1.0 B,Chang,Fred,Fred Chang,1956-10-15,57,Male,United States,Taiwan,,Technology,['Technology'],Newegg.com,CEO and Chairman,True,
2014,3,1565,1.0 B,Chang,Pyung-Soon,Chang Pyung-Soon,1951-01-03,63,Male,South Korea,South Korea,Seoul,Service,['Service'],Kyowon Group,,True,
2014,3,1565,1.0 B,Chang,Richard,Richard Chang,1947-01-01,67,Male,Taiwan,Taiwan,Taipei,Real Estate,['Real Estate'],,,True,
2014,3,1565,1.0 B,Charney,Leon,Leon Charney,1941-07-01,72,Male,United States,United States,New York,Real Estate,['Real Estate'],,,True,Decreased
2014,3,1565,1.0 B,Dick,Jeanine,Jeanine Dick,1937-01-01,77,Female,France,France,Nice,Medicine,['Medicine'],,,False,
2014,3,1565,1.0 B,Ding,Shijia,Ding Shijia,1964-01-01,50,Male,China,China,Quanzhou,Fashion & Retail,['Fashion & Retail'],,,True,Returned to List
2014,3,1565,1.0 B,Ding,Shizhong,Ding Shizhong & family,1970-12-01,43,Male,China,China,Quanzhou,Fashion & Retail,['Fashion & Retail'],,,True,Returned to List
2014,3,1565,1.0 B,Falcone,Philip,Philip Falcone,1962-07-14,51,Male,United States,United States,New York,Investments,['Investments'],Harbinger Capital Partners,,True,Decreased
2014,3,1565,1.0 B,Feng,Hailiang,Feng Hailiang,1960-10-01,53,Male,China,China,Zhuji,Metals & Mining,['Metals & Mining'],,,True,Decreased
2014,3,1565,1.0 B,Fu,Kwan,Fu Kwan,1957-10-08,56,Male,China,China,Beijing,Diversified,['Diversified'],,,True,
2014,3,1565,1.0 B,Gotianun,Andrew,Andrew Gotianun,1927-11-24,86,Male,Philippines,,,Diversified,['Diversified'],,,True,Decreased
2014,3,1565,1.0 B,Higgins,Brian,Brian Higgins,1965-02-08,49,Male,United States,United States,New York,Finance and Investments,['Finance and Investments'],King Street Capital Management,Investor,True,
2014,3,1565,1.0 B,Huo,Qinghua,Huo Qinghua,1961-06-18,52,Male,China,China,Beijing,Energy,['Energy'],,,True,Decreased
2014,3,1565,1.0 B,Ingham,Robert,Robert Ingham,1931-09-30,82,Male,Australia,Australia,Sydney,Food and Beverage,['Food and Beverage'],,,False,Decreased
2014,3,1565,1.0 B,Jensen,Bent,Bent Jensen,1951-12-15,62,Male,Denmark,Denmark,Nordborg,Manufacturing,['Manufacturing'],,,False,Decreased
2014,3,1565,1.0 B,Kahn,Morris,Morris Kahn,1930-01-01,84,Male,Israel,Israel,Beit Yanay,Technology,['Technology'],,,True,Remained Even
2014,3,1565,1.0 B,Kalyanaraman,T.S.,T.S. Kalyanaraman,1947-05-23,66,Male,India,India,Thrissur,Fashion & Retail,['Fashion & Retail'],,,True,Remained Even
2014,3,1565,1.0 B,Kaplan,Thomas,Thomas Kaplan,1962-09-14,51,Male,United States,United States,New York,Finance & Investments,['Finance and Investments'],,,True,Decreased
2014,3,1565,1.0 B,Kavanaugh,Ryan,Ryan Kavanaugh,1974-12-04,39,Male,United States,United States,Malibu,Media,['Media'],,,True,Remained Even
2014,3,1565,1.0 B,Kirkham,Graham,Graham Kirkham,1944-12-14,69,Male,United Kingdom,United Kingdom,Doncaster,Fashion and Retail,['Fashion and Retail'],,,True,
2014,3,1565,1.0 B,Koch,C. James,Jim Koch,1949-05-27,64,Male,United States,United States,Newton,Food and Beverage,['Food and Beverage'],,,True,
2014,3,1565,1.0 B,Kors,Michael,Michael Kors,1959-08-09,54,Male,United States,United States,New York City,Retail,['Retail'],,,True,
2014,3,1565,1.0 B,Korzhev,Dmitry,Dmitry Korzhev,1964-02-01,50,Male,Russia,Russia,St. Petersburg,Fashion and Retail,['Fashion and Retail'],,,True,Decreased
2014,3,1565,1.0 B,Lam,Fong Ngo,Lam Fong Ngo,,,Female,Macau,Macau,,Gaming,['Gaming'],,,True,
2014,3,1565,1.0 B,Li,Denghai,Li Denghai,1949-09-01,64,Male,China,China,Laizhou,Food and Beverage,['Food and Beverage'],,,True,
2014,3,1565,1.0 B,Li,Shuirong,Li Shuirong,1956-07-01,57,Male,China,China,Hangzhou,Manufacturing,['Manufacturing'],,,True,Decreased
2014,3,1565,1.0 B,Lim,Hariyanto Wijaya Sarwono,Lim Hariyanto Wijaya Sarwono,1927-11-01,86,Male,Indonesia,Indonesia,Jakarta,Energy,['Energy'],,,True,Decreased
2014,3,1565,1.0 B,Lin,Ming-Hsiung,Lin Ming-Hsiung,1950-01-01,64,Male,Taiwan,Taiwan,Taipei,Fashion & Retail,['Fashion & Retail'],,,True,
2014,3,1565,1.0 B,Liu,Xiaomeng,Liu Xiaomeng,1955-01-01,59,Female,China,China,Nanjing,Retail,['Retail'],,,True,
2014,3,1565,1.0 B,Lynch,Michael,Michael Lynch,1965-01-01,49,Male,United Kingdom,United Kingdom,Suffolk,Technology,['Technology'],,,True,
2014,3,1565,1.0 B,Martins,Carlos,Carlos Martins,1956-09-19,57,Male,Brazil,Brazil,Campinas,Service,['Service'],,,True,
2014,3,1565,1.0 B,Milek,Dariusz,Dariusz Milek,1968-02-01,46,Male,Poland,Poland,Chrostnik,Fashion & Retail,['Fashion & Retail'],,,True,
2014,3,1565,1.0 B,Mints,Boris,Boris Mints,1958-07-24,55,Male,Russia,Russia,Moscow,Real Estate,['Real Estate'],,,True,
2014,3,1565,1.0 B,Moncrief,William,"William Moncrief, Jr.",1920-03-27,93,Male,United States,United States,Fort Worth,Energy,['Energy'],,,False,Remained Even
2014,3,1565,1.0 B,Morgridge,John,John Morgridge,1933-07-23,80,Male,United States,United States,Portola Valley,Technology,['Technology'],Cisco Systems,Chairman Emeritus,True,Remained Even
2014,3,1565,1.0 B,Numavicius,Nerijus,Nerijus Numavicius,1967-05-12,46,Male,Lithuania,Lithuania,Vilnius,Retail,['Retail'],,,True,
2014,3,1565,1.0 B,Petrov,Sergei,Sergei Petrov,1954-08-01,59,Male,Russia,Russia,Moscow,Automotive,['Automotive'],,,True,Returned to List
2014,3,1565,1.0 B,Pudwill,Horst Julius,Horst Julius Pudwill,1944-10-23,69,Male,Germany,,Hong Kong,Manufacturing,['Manufacturing'],,Entrepreneur,True,
2014,3,1565,1.0 B,Reimann-Ciardelli,Andrea,Andrea Reimann-Ciardelli,1957-01-01,,Female,United States,United States,Hanover,Fashion & Retail,['Fashion & Retail'],,,False,
2014,3,1565,1.0 B,Rodriguez Rodriguez,Jorge,Jorge Rodriguez Rodriguez,1946-01-01,68,Male,Peru,Peru,Lima,Diversified,['Diversified'],,,True,Decreased
2014,3,1565,1.0 B,Schleifer,Leonard,Leonard Schleifer,1952-07-07,61,Male,United States,United States,Tarrytown,Healthcare,['Healthcare'],Regeneron Pharmaceuticals,CEO and Founder,True,
2014,3,1565,1.0 B,Schoeller,Monika,Monika Schoeller,1939-01-01,75,Female,Germany,Germany,Stuttgart,Media & Entertainment,['Media & Entertainment'],,,False,Decreased
2014,3,1565,1.0 B,Sehgal,Vivek Chaand,Vivek Chaand Sehgal,1956-09-28,57,Male,Australia,India,Delhi,Automotive,['Automotive'],,,True,
2014,3,1565,1.0 B,Seo,Jung-Jin,Seo Jung-Jin,1957-10-23,56,Male,South Korea,South Korea,Seoul,Healthcare,['Healthcare'],Celltrion,,True,Decreased
2014,3,1565,1.0 B,Shetty,B.R.,B.R. Shetty,1942-01-01,72,Male,India,United Arab Emirates,Abu Dhabi,Healthcare,['Healthcare'],,,True,
2014,3,1565,1.0 B,Thompson,Jim,Jim Thompson,1940-01-14,74,Male,United States,Hong Kong,Hong Kong,Logistics,['Logistics'],,,True,Remained Even
2014,3,1565,1.0 B,Tihipko,Serhiy,Serhiy Tihipko,1960-02-13,54,Male,Ukraine,,Kiev,Diversified,['Diversified'],,,True,Decreased
2014,3,1565,1.0 B,Troitsky,Dmitry,Dmitry Troitsky,1965-03-01,49,Male,Russia,Russia,St. Petersburg,Fashion and Retail,['Fashion and Retail'],,,True,Decreased
2014,3,1565,1.0 B,Tsikalyuk,Sergei,Sergei Tsikalyuk,1959-03-01,55,Male,Russia,Russia,Moscow,Finance,['Finance'],,,True,Remained Even
2014,3,1565,1.0 B,Tuchman,Kenneth,Kenneth Tuchman,1959-10-23,54,Male,United States,United States,Denver,Service,['Service'],,,True,Returned to List
2014,3,1565,1.0 B,Tykac,Pavel,Pavel Tykac,1964-05-15,49,Male,Czech Republic,Czech Republic,Prague,Metals & Mining,['Metals & Mining'],,,True,
2014,3,1565,1.0 B,Uehara,Shoji,Shoji Uehara,1927-12-07,86,Male,Japan,Japan,Tokyo,Healthcare,['Healthcare'],,,False,Returned to List
2014,3,1565,1.0 B,Van Lieshout,John,John Van Lieshout,1946-01-12,68,Male,Australia,Australia,Brisbane,Real Estate,['Real Estate'],,,True,Remained Even
2014,3,1565,1.0 B,Vargi,Murat,Murat Vargi,1947-11-14,66,Male,Turkey,Turkey,Istanbul,Telecom,['Telecom'],,,True,Remained Even
2014,3,1565,1.0 B,Vik,Alexander,Alexander Vik,1955-02-19,59,Male,Norway,Monaco,Monaco,Finance and Investments,['Finance and Investments'],,Investor,False,Returned to List
2014,3,1565,1.0 B,Virwani,Jitendra,Jitendra Virwani,1966-02-18,48,Male,India,India,Bangalore,Real Estate,['Real Estate'],,,False,Remained Even
2014,3,1565,1.0 B,von Holtzbrinck,Stefan,Stefan von Holtzbrinck,1963-05-15,50,Male,Germany,Germany,Stuttgart,Media & Entertainment,['Media & Entertainment'],,,False,Decreased
2014,3,1565,1.0 B,Wang,Jianfeng,Wang Jianfeng & family,1970-01-01,44,Male,China,China,Ningbo,Automotive,['Automotive'],,,True,
2014,3,1565,1.0 B,Wang,Muqing,Wang Muqing & family,1951-01-01,63,Male,China,China,Shanghai,Automotive,['Automotive'],,,True,Decreased
2014,3,1565,1.0 B,Wang,Yong,Wang Yong,1950-06-01,63,Male,China,China,Binzhou,Food and Beverage,['Food and Beverage'],,,True,Decreased
2014,3,1565,1.0 B,Wu,Chung-Yi,Wu Chung-Yi,1959-01-01,55,Male,Taiwan,Taiwan,Chang Hwa County,Manufacturing,['Manufacturing'],,,False,Remained Even
2014,3,1565,1.0 B,Wu,Xiong,Wu Xiong,,,Male,China,China,Guangzhou,Food and Beverage,['Food and Beverage'],,,True,
2014,3,1565,1.0 B,Yang,Keng,Yang Keng,1961-01-01,53,Male,China,China,Chengdu,Real Estate,['Real Estate'],,,True,
2014,3,1565,1.0 B,Zhu,Wenchen,Zhu Wenchen,1966-01-01,48,Male,China,China,Zhengzhou,Healthcare,['Healthcare'],,,True,
2015,3,1,79.2 B,Gates,Bill,Bill Gates,1955-10-28,59,Male,United States,United States,Medina,Technology,['Technology'],Bill & Melinda Gates Foundation,Cofounder,True,Increased
2015,3,2,77.1 B,Slim Helu,Carlos,Carlos Slim Helu & family,1940-01-28,75,Male,Mexico,Mexico,Mexico City,Telecom,['Telecom'],Am&#233;rica M&#243;vil,Honorary Chairman,True,Increased
2015,3,3,72.7 B,Buffett,Warren,Warren Buffett,1930-08-30,84,Male,United States,United States,Omaha,Investments,['Investments'],Berkshire Hathaway,CEO,True,Increased
2015,3,4,64.5 B,Ortega,Amancio,Amancio Ortega,1936-03-28,78,Male,Spain,Spain,La Coruna,Fashion & Retail,['Fashion & Retail'],,,True,Increased
2015,3,5,54.3 B,Ellison,Larry,Larry Ellison,1944-08-17,70,Male,United States,United States,Woodside,Technology,['Technology'],Oracle,CEO and Founder,True,Increased
2015,3,6,42.9 B,Koch,Charles,Charles Koch,1935-11-01,79,Male,United States,United States,Wichita,Diversified,['Diversified'],Koch Industries,CEO,False,Increased
2015,3,6,42.9 B,Koch,David,David Koch,1940-05-03,74,Male,United States,United States,New York,Diversified,['Diversified'],Koch Industries,Executive Vice President,False,Increased
2015,3,8,41.7 B,Walton,Christy,Christy Walton & family,1955-01-01,60,Female,United States,United States,Jackson,Fashion and Retail,['Fashion and Retail'],Children's Scholarship Fund,Co-Chair,False,Increased
2015,3,9,40.6 B,Walton,Jim,Jim Walton,1948-01-01,67,Male,United States,United States,Bentonville,Fashion and Retail,['Fashion and Retail'],"Arvest Bank Group, Inc.",Chairman and CEO,False,Increased
2015,3,10,40.1 B,Bettencourt,Liliane,Liliane Bettencourt & family,1922-10-21,92,Female,France,France,Paris,Fashion & Retail,['Fashion & Retail'],,,False,Increased
2015,3,11,39.4 B,Walton,Alice,Alice Walton,1949-10-07,65,Female,United States,United States,Fort Worth,Fashion and Retail,['Fashion and Retail'],Crystal Bridges Museum of American Art,Philanthropist,False,Increased
2015,3,12,39.1 B,Walton,S. Robson,S. Robson Walton,1944-10-27,70,Male,United States,United States,Bentonville,Fashion & Retail,['Fashion & Retail'],Wal-Mart Stores,Chairman,False,Increased
2015,3,13,37.2 B,Arnault,Bernard,Bernard Arnault & family,1949-03-05,65,Male,France,France,Paris,Fashion & Retail,['Fashion & Retail'],LVMH Moet Hennessy Louis Vuitton,Chairman and CEO,False,Increased
2015,3,14,35.5 B,Bloomberg,Michael,Michael Bloomberg,1942-02-14,73,Male,United States,United States,New York,Media,['Media'],Bloomberg,CEO,True,Increased
2015,3,15,34.8 B,Bezos,Jeff,Jeff Bezos,1964-01-12,51,Male,United States,United States,Seattle,Technology,['Technology'],Amazon.com,Entrepreneur,True,Increased
2015,3,16,33.4 B,Zuckerberg,Mark,Mark Zuckerberg,1984-05-14,30,Male,United States,United States,Palo Alto,Technology,['Technology'],Facebook,Entrepreneur,True,Increased
2015,3,17,33.3 B,Li,Ka-shing,Li Ka-shing,1928-06-13,86,Male,Hong Kong,Hong Kong,Hong Kong,Diversified,['Diversified'],CK Hutchison Holdings,Chairman,True,Increased
2015,3,18,31.4 B,Adelson,Sheldon,Sheldon Adelson,1933-08-04,81,Male,United States,United States,Las Vegas,Gaming,['Gaming'],Las Vegas Sands,Chairman and CEO,True,Decreased
2015,3,19,29.7 B,Page,Larry,Larry Page,1973-03-26,41,Male,United States,United States,Palo Alto,Technology,['Technology'],Google,Entrepreneur,True,Decreased
2015,3,20,29.2 B,Brin,Sergey,Sergey Brin,1973-08-21,41,Male,United States,United States,Los Altos,Technology,['Technology'],Google,"Cofounder, Director Of Special Projects",True,Decreased
2015,3,21,26.9 B,Schaeffler,Georg,Georg Schaeffler,1964-10-19,50,Male,Germany,Germany,Herzogenaurach,Automotive,['Automotive'],,Entrepreneur,False,Increased
2015,3,22,26.6 B,Mars,Forrest,"Forrest Mars, Jr.",1931-08-13,83,Male,United States,United States,Big Horn,Food and Beverage,['Food and Beverage'],,,False,Increased
2015,3,22,26.6 B,Mars,Jacqueline,Jacqueline Mars,1939-10-10,75,Female,United States,United States,The Plains,Food and Beverage,['Food and Beverage'],,,False,Increased
2015,3,22,26.6 B,Mars,John,John Mars,1935-10-15,79,Male,United States,United States,Jackson,Food and Beverage,['Food and Beverage'],,,False,Increased
2015,3,25,25.5 B,Thomson,David,David Thomson & family,1957-06-12,57,Male,Canada,Canada,Toronto,Media & Entertainment,['Media & Entertainment'],Thomson Reuters,Chairman,False,Increased
2015,3,26,25.0 B,Lemann,Jorge Paulo,Jorge Paulo Lemann,1939-08-26,75,Male,Brazil,Switzerland,zurich,Food and Beverage,['Food and Beverage'],,"Investor, Philanthropist",True,Increased
2015,3,27,24.8 B,Lee,Shau Kee,Lee Shau Kee,1928-01-29,87,Male,Hong Kong,Hong Kong,Hong Kong,Real Estate,['Real Estate'],,,True,Increased
2015,3,28,24.5 B,Persson,Stefan,Stefan Persson,1947-10-04,67,Male,Sweden,Sweden,Stockholm,Fashion & Retail,['Fashion & Retail'],H&#38;M,Chairman,False,Decreased
2015,3,29,24.2 B,Soros,George,George Soros,1930-08-12,84,Male,United States,United States,Katonah,Investments,['Investments'],Soros Fund Management LLC,Founder,True,Increased
2015,3,29,24.2 B,Wang,Jianlin,Wang Jianlin,1954-10-01,60,Male,China,China,Beijing,Real Estate,['Real Estate'],Dalian Wanda Group,Chairman,True,Increased
2015,3,31,23.5 B,Icahn,Carl,Carl Icahn,1936-02-16,79,Male,United States,United States,New York,Investments,['Investments'],Icahn Capital Management,Founder,True,Decreased
2015,3,32,23.4 B,Fissolo,Maria Franca,Maria Franca Fissolo & family,1935-01-01,97,Female,Italy,Monaco,Monaco,Food and Beverage,['Food and Beverage'],,,False,
2015,3,33,22.7 B,Ma,Jack,Jack Ma,1964-09-10,50,Male,China,China,Hangzhou,Technology,['Technology'],Alibaba Group,Founder and Executive Chairman,True,Increased
2015,3,34,22.6 B,Alsaud,Prince Alwaleed Bin Talal,Prince Alwaleed Bin Talal Alsaud,1955-03-07,59,Male,Saudi Arabia,Saudi Arabia,Riyadh,Finance and Investments,['Finance and Investments'],,,True,Increased
2015,3,35,21.5 B,Ballmer,Steve,Steve Ballmer,1956-03-24,58,Male,United States,United States,Hunts Point,Technology,['Technology'],Microsoft,CEO,True,Increased
2015,3,35,21.5 B,Knight,Phil,Phil Knight,1938-02-24,77,Male,United States,United States,Hillsboro,Fashion and Retail,['Fashion and Retail'],NIKE,Chairman,True,Increased
2015,3,37,21.3 B,Albrecht Jr.,Beate Heister & Karl,Beate Heister & Karl Albrecht Jr.,,,,Germany,,,Fashion & Retail,['Fashion & Retail'],,,False,
2015,3,38,21.1 B,Li,Hejun,Li Hejun,1967-08-13,47,Male,China,China,Beijing,Energy,['Energy'],,,True,Increased
2015,3,39,21.0 B,Ambani,Mukesh,Mukesh Ambani,1957-04-19,57,Male,India,India,Mumbai,Energy,['Energy'],Reliance Industries,Chairman,False,Increased
2015,3,40,20.4 B,Del Vecchio,Leonardo,Leonardo Del Vecchio & family,1935-05-22,79,Male,Italy,Italy,Milan,Fashion & Retail,['Fashion & Retail'],,,True,Increased
2015,3,41,20.2 B,Blavatnik,Len,Len Blavatnik,1957-06-01,57,Male,United States,United Kingdom,London,Energy,['Energy'],,,True,Increased
2015,3,41,20.2 B,Yanai,Tadashi,Tadashi Yanai & family,1949-02-07,66,Male,Japan,Japan,Tokyo,Fashion & Retail,['Fashion & Retail'],,,True,Increased
2015,3,43,20.1 B,Ergen,Charles,Charles Ergen,1953-03-01,62,Male,United States,United States,Denver,Media,['Media'],DISH Network,Founder and Chairman,True,Increased
2015,3,44,20.0 B,Shanghvi,Dilip,Dilip Shanghvi,1955-10-01,59,Male,India,India,Mumbai,Healthcare,['Healthcare'],,,True,Increased
2015,3,45,19.5 B,Powell Jobs,Laurene,Laurene Powell Jobs & family,1963-11-06,51,Female,United States,United States,Palo Alto,Technology,['Technology'],Emerson Collective,"Investor, Philanthropist",False,Increased
2015,3,46,19.4 B,Schwarz,Dieter,Dieter Schwarz,1939-09-24,75,Male,Germany,Germany,Neckarsulm,Fashion & Retail,['Fashion & Retail'],,,False,Decreased
2015,3,47,19.2 B,Dell,Michael,Michael Dell,1965-02-23,50,Male,United States,United States,Austin,Technology,['Technology'],Dell,Chairman and CEO,True,Increased
2015,3,48,19.1 B,Premji,Azim,Azim Premji,1945-07-24,69,Male,India,India,Bangalore,Technology,['Technology'],Wipro Limited (ADR),Chairman,False,Increased
2015,3,49,19.0 B,Albrecht,Theo,"Theo Albrecht, Jr. & family",1951-01-01,64,Male,Germany,Germany,Mulheim an der Ruhr,Fashion & Retail,['Fashion & Retail'],,,False,Decreased
2015,3,50,18.1 B,Otto,Michael,Michael Otto & family,1943-04-12,71,Male,Germany,Germany,Hamburg,Fashion & Retail,['Fashion & Retail'],,,False,Decreased
2015,3,51,17.5 B,Allen,Paul,Paul Allen,1953-01-21,62,Male,United States,United States,Mercer Island,Technology,['Technology'],,,True,Increased
2015,3,52,17.3 B,Safra,Joseph,Joseph Safra,1939-01-01,76,Male,Brazil,Brazil,Sao Paulo,Finance and Investments,['Finance and Investments'],,,True,Increased
2015,3,53,17.0 B,Chambers,Anne Cox,Anne Cox Chambers,1919-12-01,95,Female,United States,United States,Atlanta,Media,['Media'],,,False,Increased
2015,3,54,16.8 B,Klatten,Susanne,Susanne Klatten,1962-04-28,52,Female,Germany,Germany,Bad Homburg,Automotive,['Automotive'],,,False,Decreased
2015,3,55,16.3 B,Mistry,Pallonji,Pallonji Mistry,1929-06-01,85,Male,Ireland,India,Mumbai,Construction & Engineering,['Construction & Engineering'],,,False,Increased
2015,3,56,16.1 B,Ma,Huateng,Ma Huateng,1971-10-01,43,Male,China,China,Shenzhen,Technology,['Technology'],Tencent Holdings,Chairman and CEO,True,Increased
2015,3,57,16.0 B,Drahi,Patrick,Patrick Drahi,1963-08-20,51,Male,France,Switzerland,Zermatt,Telecom,['Telecom'],,,True,Increased
2015,3,58,15.9 B,Kwok,Thomas & Raymond,Thomas & Raymond Kwok,,,Male,Hong Kong,Hong Kong,Hong Kong,Real Estate,['Real Estate'],,,False,Increased
2015,3,59,15.6 B,Quandt,Stefan,Stefan Quandt,1966-05-09,48,Male,Germany,Germany,Frankfurt,Automotive,['Automotive'],,,False,Increased
2015,3,60,15.4 B,Dalio,Ray,Ray Dalio,1949-08-01,65,Male,United States,United States,Greenwich,Investments,['Investments'],Bridgewater Associates,Founder & Co-Chief Investment Officer,True,Increased
2015,3,60,15.4 B,Potanin,Vladimir,Vladimir Potanin,1961-01-03,54,Male,Russia,Russia,Moscow,Metals & Mining,['Metals & Mining'],,,True,Increased
2015,3,62,15.3 B,Dassault,Serge,Serge Dassault & family,1925-04-04,89,Male,France,France,Paris,Diversified,['Diversified'],,,False,Increased
2015,3,62,15.3 B,Li,Robin,Robin Li,1968-11-17,46,Male,China,China,Beijing,Technology,['Technology'],Baidu,Founder and CEO,True,Increased
2015,3,64,15.2 B,Bren,Donald,Donald Bren,1932-05-11,82,Male,United States,United States,Newport Beach,Real Estate,['Real Estate'],Irvine Company,Chairman,True,Increased
2015,3,65,14.9 B,Pinault,Francois,Francois Pinault & family,1936-08-21,78,Male,France,France,Paris,Fashion & Retail,['Fashion & Retail'],,,True,Decreased
2015,3,66,14.8 B,Nadar,Shiv,Shiv Nadar,1945-07-18,69,Male,India,India,Delhi,Technology,['Technology'],,,True,Increased
2015,3,67,14.7 B,Dangote,Aliko,Aliko Dangote,1957-04-10,57,Male,Nigeria,Nigeria,Lagos,Manufacturing,['Manufacturing'],Dangote Group,CEO,True,Decreased
2015,3,68,14.6 B,Fridman,Mikhail,Mikhail Fridman,1964-04-21,50,Male,Russia,United Kingdom,London,Energy,['Energy'],,,True,Decreased
2015,3,69,14.5 B,Hinduja,,Hinduja family,,,Male,United Kingdom,United Kingdom,London,Diversified,['Diversified'],,,False,Increased
2015,3,69,14.5 B,Perelman,Ronald,Ronald Perelman,1943-01-01,72,Male,United States,United States,New York,Finance and Investments,['Finance and Investments'],,,True,Increased
2015,3,71,14.4 B,Cheng,Yu-tung,Cheng Yu-tung,1925-08-27,89,Male,Hong Kong,,,Real Estate,['Real Estate'],,,True,Decreased
2015,3,71,14.4 B,Usmanov,Alisher,Alisher Usmanov,1953-09-09,61,Male,Russia,Russia,Moscow,Metals & Mining,['Metals & Mining'],Metalloinvest,Founder,True,Decreased
2015,3,73,14.2 B,Sy,Henry,Henry Sy & family,1924-10-25,90,Male,Philippines,Philippines,Manila,Diversified,['Diversified'],,,True,Increased
2015,3,73,14.2 B,Vekselberg,Viktor,Viktor Vekselberg,1957-04-14,57,Male,Russia,Russia,Moscow,Energy,['Energy'],,,True,Decreased
2015,3,75,14.1 B,Son,Masayoshi,Masayoshi Son,1957-08-11,57,Male,Japan,Japan,Tokyo,Telecom,['Telecom'],Softbank,CEO,True,Decreased
2015,3,76,14.0 B,Simons,James,James Simons,1938-05-01,76,Male,United States,United States,East Setauket,Investments,['Investments'],Renaissance Technologies Corp.,Founder,True,Increased
2015,3,77,13.9 B,Larrea Mota Velasco,German,German Larrea Mota Velasco & family,1953-10-26,61,Male,Mexico,Mexico,Mexico City,Metals & Mining,['Metals & Mining'],,,False,Decreased
2015,3,77,13.9 B,Murdoch,Rupert,Rupert Murdoch & family,1931-03-11,83,Male,United States,United States,New York,Media,['Media'],News Corp,Chairman and CEO,True,Increased
2015,3,77,13.9 B,Quandt,Johanna,Johanna Quandt,1926-06-21,88,Female,Germany,,,Automotive,['Automotive'],,,False,Increased
2015,3,80,13.7 B,Reuben,David & Simon,David & Simon Reuben,1943-01-01,72,Male,United Kingdom,United Kingdom,London,Real Estate,['Real Estate'],,,True,Increased
2015,3,81,13.6 B,Chearavanont,Dhanin,Dhanin Chearavanont,1939-04-19,75,Male,Thailand,Thailand,Bangkok,Diversified,['Diversified'],,,False,Increased
2015,3,82,13.5 B,Fontbona,Iris,Iris Fontbona & family,1943-01-01,72,Female,Chile,Chile,Santiago,Metals & Mining,['Metals & Mining'],,,False,Decreased
2015,3,82,13.5 B,Lui,Che Woo,Lui Che Woo,1929-04-01,85,Male,Hong Kong,Hong Kong,Hong Kong,Gambling & Casinos,['Gambling & Casinos'],,,True,Decreased
2015,3,82,13.5 B,Mittal,Lakshmi,Lakshmi Mittal,1950-06-15,64,Male,India,United Kingdom,London,Metals & Mining,['Metals & Mining'],ArcelorMittal (ADR),Chairman and CEO,False,Decreased
2015,3,85,13.4 B,Johnson,Abigail,Abigail Johnson,1961-12-19,53,Female,United States,United States,Milton,Investments,['Investments'],Fidelity Investments,President,False,Decreased
2015,3,85,13.4 B,Sarmiento,Luis Carlos,Luis Carlos Sarmiento,1933-01-27,82,Male,Colombia,Colombia,Bogota,Finance and Investments,['Finance and Investments'],,,True,Decreased
2015,3,87,13.2 B,Lei,Jun,Lei Jun,1969-12-16,45,Male,China,China,Beijing,Technology,['Technology'],Xiaomi,Founder and CEO,True,Increased
2015,3,87,13.2 B,Sirivadhanabhakdi,Charoen,Charoen Sirivadhanabhakdi,1944-05-02,70,Male,Thailand,Thailand,Bangkok,Food and Beverage,['Food and Beverage'],,,True,Increased
2015,3,89,13.0 B,Mordashov,Alexey,Alexey Mordashov,1965-09-26,49,Male,Russia,Russia,Moscow,Metals & Mining,['Metals & Mining'],,,True,Increased
2015,3,89,13.0 B,Telles,Marcel Herrmann,Marcel Herrmann Telles,1950-01-01,65,Male,Brazil,Brazil,Sao Paulo,Food and Beverage,['Food and Beverage'],,,True,Increased
2015,3,91,12.6 B,Grosvenor,Gerald Cavendish,Gerald Cavendish Grosvenor & family,1951-12-22,63,Male,United Kingdom,,,Real Estate,['Real Estate'],,,False,Decreased
2015,3,92,12.5 B,Rausing,Hans,Hans Rausing,1926-03-25,88,Male,Sweden,United Kingdom,Wadhurst,Manufacturing,['Manufacturing'],,,False,Increased
2015,3,92,12.5 B,Taylor,Jack,Jack Taylor & family,1922-09-01,92,Male,United States,United States,St. Louis,Service,['Service'],Enterprise Rent-A-Car,Founder,True,Decreased
