country,year,billionaire_count,total_net_worth,gdp
Russia,2014,111,422.15,1390921151162.46
Germany,2014,85,400.85,3367906396055.51
Brazil,2014,65,191.55,1868463501755.79
India,2014,56,191.5,1947834564908.95
United Kingdom,2014,47,153.85,2864242231205.47
Hong Kong,2014,45,213.65,302170465323.717
France,2014,43,235.2,2416703157283.96
Italy,2014,35,157.95,1829227175717.41
Canada,2014,32,112.55,1546457292386.53
Australia,2014,29,85.3,1322334997273.41
Taiwan,2014,28,75.8,0.0
Japan,2014,27,100.8,4376627829637.51
South Korea,2014,27,60.39,1425981639370.35
Spain,2014,26,122.5,1159095456184.34
Turkey,2014,24,43.0,814741000960.492
Switzerland,2014,21,80.05,682887233860.616
Indonesia,2014,19,47.65,820828013260.627
Sweden,2014,19,116.7,480507219292.52
Israel,2014,18,51.75,295877497534.411
Mexico,2014,16,142.9,1181370028689.69
Singapore,2014,16,45.0,299095084828.978
Malaysia,2014,13,53.0,286755041078.03
Chile,2014,12,41.25,237342873662.242
Thailand,2014,11,36.6,389101609925.933
Austria,2014,10,33.7,374662287839.195
Philippines,2014,10,40.1,288153024779.43
Norway,2014,9,21.75,381081533533.12
Ukraine,2014,9,26.6,100891035816.499
Egypt,2014,8,22.3,315569804751.572
Peru,2014,8,11.75,183824551906.256
South Africa,2014,8,25.4,342186555600.731
Netherlands,2014,7,24.2,759634819632.632
Saudi Arabia,2014,7,49.0,640599267343.861
Czechia,2014,6,18.4,180173337872.859
Denmark,2014,6,26.9,295539545041.068
Lebanon,2014,6,12.3,49699566407.4833
Argentina,2014,5,11.3,578937574935.696
Ireland,2014,5,25.5,242659427386.766
Kazakhstan,2014,5,9.15,182201980933.864
Kuwait,2014,5,6.4,113910327577.994
Poland,2014,5,12.8,459682079851.439
Colombia,2014,4,30.6,285066097496.814
Cyprus,2014,4,19.7,19251098194.7843
Finland,2014,4,6.6,232127848925.0
Morocco,2014,4,7.35,105816536606.04
Nigeria,2014,4,33.3,480286163931.15
United Arab Emirates,2014,4,14.6,346742821770.78
Belgium,2014,3,8.0,454346946668.411
Greece,2014,3,8.2,195012591244.259
Monaco,2014,3,4.55,5971532102.07698
Portugal,2014,3,10.6,195923730996.63
Venezuela,2014,3,9.0,765257213.745608
Macau,2014,2,2.8,0.0
New Zealand,2014,2,9.75,171693137607.002
Oman,2014,2,2.3,74950483987.1606
Algeria,2014,1,3.2,181680092644.714
Angola,2014,1,3.7,89650503847.7041
Georgia,2014,1,5.2,14730184213.8494
Guernsey,2014,1,2.4,0.0
Lithuania,2014,1,1.0,40396596564.7359
Nepal,2014,1,1.1,23429242138.2095
Romania,2014,1,1.2,172441103432.375
St. Kitts and Nevis,2014,1,1.2,950623606.036342
Eswatini (Swaziland),2014,1,3.7,3826331630.21918
Tanzania,2014,1,1.0,44662433111.6494
Uganda,2014,1,1.1,30789849487.5724
Vietnam,2014,1,1.6,223632762207.56
United States,2015,535,2564.35,18295019000000.0
China,2015,212,563.55,11061572618578.7
Germany,2015,102,432.3,3423568450957.03
India,2015,90,294.25,2103588360044.94
Russia,2015,88,336.5,1363482182197.71
Hong Kong,2015,55,246.1,309385622601.348
Brazil,2015,54,181.05,1802212206904.68
United Kingdom,2015,53,171.15,2927911140916.73
France,2015,47,253.4,2442483452642.5
Canada,2015,40,135.85,1556508816217.14
Italy,2015,39,155.8,1845428048839.1
Taiwan,2015,33,82.05,0.0
Turkey,2015,32,52.45,864313810469.009
South Korea,2015,30,77.5,1466038936206.43
Switzerland,2015,29,98.6,694118186379.628
Australia,2015,27,68.95,1351296372254.31
Japan,2015,24,97.75,4444930651964.18
Indonesia,2015,23,56.15,860854232717.718
Sweden,2015,23,115.7,501698263620.663
Spain,2015,21,116.3,1206164777553.12
Singapore,2015,19,53.55,307998545269.398
Israel,2015,17,54.2,302722655203.465
Mexico,2015,16,144.4,1213294467716.88
Thailand,2015,16,54.8,401296238228.084
Chile,2015,12,39.85,242450355827.827
Malaysia,2015,12,48.93,301355266964.947
Philippines,2015,11,51.3,306445871246.718
Norway,2015,10,25.0,388159512245.53
Saudi Arabia,2015,10,51.9,669484266666.667
Netherlands,2015,9,27.5,775743675302.734
Egypt,2015,8,23.45,329366576819.407
Austria,2015,7,29.55,379546097300.633
Lebanon,2015,7,14.05,49929337836.8159
South Africa,2015,7,28.55,346709790458.563
Peru,2015,6,8.75,189802976285.619
Argentina,2015,5,11.15,594749285413.212
Cyprus,2015,5,15.8,19909278416.8575
Czechia,2015,5,15.45,189107698561.919
Denmark,2015,5,25.7,301758922337.637
Finland,2015,5,8.05,233210733506.25
Ireland,2015,5,30.25,302391428540.035
Kazakhstan,2015,5,10.8,184388404706.042
Kuwait,2015,5,5.85,114585555830.916
Nigeria,2015,5,22.9,493026682800.63
Poland,2015,5,11.5,480054118583.367
Ukraine,2015,5,11.85,91030967789.0717
Monaco,2015,4,6.85,6264756528.37691
United Arab Emirates,2015,4,19.2,370275469560.166
Belgium,2015,3,8.2,461044767544.531
Colombia,2015,3,18.5,293492370193.166
Greece,2015,3,7.0,194567373678.099
Morocco,2015,3,5.3,110413823841.592
Portugal,2015,3,8.2,199038523119.639
Venezuela,2015,3,9.6,786555555.555555
New Zealand,2015,2,9.9,178104220784.881
Oman,2015,2,2.2,78710793237.9714
Romania,2015,2,2.15,177885131240.315
Tanzania,2015,2,2.25,47413919817.124
Algeria,2015,1,3.1,187493855609.345
Angola,2015,1,3.3,90496420506.5957
Georgia,2015,1,5.2,15223796148.8396
Guatemala,2015,1,1.0,62186064718.7424
Guernsey,2015,1,1.8,0.0
Iceland,2015,1,1.3,17517210519.0912
Liechtenstein,2015,1,2.7,6268515276.17441
Lithuania,2015,1,1.0,41540954817.2039
Nepal,2015,1,1.3,24360801286.7638
St. Kitts and Nevis,2015,1,1.2,957222222.222222
Eswatini (Swaziland),2015,1,3.9,3878174403.5524
Uganda,2015,1,1.1,32387183730.1002
Vietnam,2015,1,1.7,239258328381.741
United States,2016,541,2400.1,18627887993000.0
China,2016,250,591.8,11819153423353.8
Germany,2016,119,467.6,3502129441730.16
India,2016,84,248.4,2277267041550.36
Russia,2016,78,284.7,1366123111808.03
Hong Kong,2016,63,240.2,316116094447.437
United Kingdom,2016,50,161.8,2984177104376.02
Italy,2016,43,150.8,1868241619898.42
France,2016,39,212.0,2463489569508.32
Canada,2016,34,113.6,1572673953080.04
Switzerland,2016,33,93.1,708477337578.722
Brazil,2016,31,135.1,1743173232503.86
South Korea,2016,31,75.1,1509241369553.54
Turkey,2016,30,45.4,893035686216.222
Japan,2016,27,85.4,4478437728055.55
Sweden,2016,26,112.0,513486872435.55
Australia,2016,25,61.7,1388583854795.63
Taiwan,2016,25,54.1,0.0
Spain,2016,21,113.2,1241326362774.56
Indonesia,2016,20,49.8,904181621813.478
Israel,2016,17,48.2,315943412203.594
Singapore,2016,17,44.5,319051515647.446
Thailand,2016,16,44.9,415081396923.293
Mexico,2016,14,99.6,1234800030119.7
Norway,2016,13,24.8,392680500155.007
Philippines,2016,11,41.5,328355086282.447
Chile,2016,10,29.0,246700604504.172
Malaysia,2016,10,39.5,314764917575.088
Netherlands,2016,9,28.2,794549918798.828
Lebanon,2016,7,12.5,50705514062.8608
Austria,2016,6,29.0,387581921933.047
Denmark,2016,6,29.4,311032111245.335
Egypt,2016,6,14.2,343682967575.512
Finland,2016,6,10.5,239208760192.969
Ireland,2016,6,30.7,306088582898.588
Saudi Arabia,2016,6,34.6,682100649038.503
South Africa,2016,6,21.8,349013858372.625
Cyprus,2016,5,13.4,21218032952.0546
Czechia,2016,5,17.8,193988322699.324
Kazakhstan,2016,5,9.3,186416677156.152
Nigeria,2016,5,29.9,485055087455.82
Ukraine,2016,5,7.1,93253017276.778
United Arab Emirates,2016,5,18.4,390868305567.669
Argentina,2016,4,9.2,582376550428.09
Monaco,2016,4,7.1,6453228194.42908
Belgium,2016,3,7.5,466547349016.531
Colombia,2016,3,13.6,299618678572.191
Peru,2016,3,3.8,197306492869.139
Poland,2016,3,7.9,494605411858.337
Portugal,2016,3,7.8,203027535953.584
Venezuela,2016,3,7.2,819165611.528601
Greece,2016,2,4.5,194505510567.857
Morocco,2016,2,3.2,110989284688.174
New Zealand,2016,2,9.1,184780121689.709
Algeria,2016,1,3.1,194806115978.109
Angola,2016,1,3.0,88161567931.4379
Georgia,2016,1,4.8,15749049874.5344
Guernsey,2016,1,1.9,0.0
Iceland,2016,1,1.6,18621440660.0019
Liechtenstein,2016,1,2.5,426318507337.121
Nepal,2016,1,1.1,24466311259.2881
Oman,2016,1,1.5,82682873555.7961
Qatar,2016,1,2.0,166695978169.384
Romania,2016,1,1.0,182972525962.275
Eswatini (Swaziland),2016,1,3.7,4015035098.77479
Tanzania,2016,1,1.1,50669888784.2555
Vietnam,2016,1,1.8,255264731908.124
United States,2017,566,2756.5,19085691122935.2
China,2017,319,808.6,12640253743744.4
Germany,2017,113,465.8,3597248136065.74
India,2017,100,324.3,2432016068497.75
Russia,2017,95,384.7,1391065651845.68
Hong Kong,2017,67,271.1,328116190362.994
United Kingdom,2017,54,162.5,3063451915172.53
Brazil,2017,43,172.1,1766233131755.03
Italy,2017,42,151.9,1898202609756.92
Canada,2017,39,133.8,1620386284372.81
France,2017,38,245.1,2514819204022.09
South Korea,2017,38,92.7,1556927899270.75
Switzerland,2017,37,109.4,718132463597.499
Australia,2017,33,91.0,1420237898460.73
Japan,2017,33,114.5,4553466417292.21
Sweden,2017,31,117.5,522858808973.771
Taiwan,2017,31,75.2,0.0
Turkey,2017,29,48.5,960031200973.599
Spain,2017,25,124.7,1277275696600.78
Singapore,2017,21,59.4,333450075464.15
Indonesia,2017,20,53.1,950021694198.768
Thailand,2017,20,63.2,432422173710.333
Israel,2017,18,54.1,329445006817.89
Mexico,2017,15,116.7,1257912134612.3
Norway,2017,14,32.4,402355151389.893
Philippines,2017,14,45.8,351113338977.942
Chile,2017,12,41.4,250050047208.954
Malaysia,2017,12,45.7,333061328477.268
Netherlands,2017,10,31.6,816650691068.16
Saudi Arabia,2017,10,42.1,688314917831.272
Austria,2017,8,31.2,396388752620.721
Ireland,2017,8,34.2,336849348481.597
South Africa,2017,8,26.6,353055253707.071
Argentina,2017,7,12.4,598790850843.677
Cyprus,2017,7,17.6,22438246478.4654
Egypt,2017,7,18.1,358053111989.023
Finland,2017,7,12.9,247110711000.0
Czechia,2017,6,23.5,204024435225.367
Denmark,2017,6,38.6,320538736946.88
Ukraine,2017,6,10.6,95453762635.7013
Kazakhstan,2017,5,10.5,194059760924.352
Peru,2017,5,8.4,202276318741.548
United Arab Emirates,2017,5,27.3,393741456191.578
Kuwait,2017,4,5.4,112380894485.055
Lebanon,2017,4,9.0,51163399287.7034
Monaco,2017,4,7.1,6246325873.74088
Poland,2017,4,9.9,520089746650.75
Portugal,2017,4,10.7,209757331881.699
Colombia,2017,3,17.1,303691577641.583
Greece,2017,3,6.5,197370819841.305
Morocco,2017,3,4.5,116603009678.139
Nigeria,2017,3,19.6,488964081500.901
Oman,2017,3,6.7,82934277088.5646
Belgium,2017,2,6.7,473426438780.183
New Zealand,2017,2,11.4,191057624435.572
Qatar,2017,2,3.7,164199531361.81
St. Kitts and Nevis,2017,2,4.9,997065001.528822
Venezuela,2017,2,5.1,831033933.84893
Vietnam,2017,2,3.6,272980590259.187
Algeria,2017,1,3.1,197728207717.781
Angola,2017,1,3.1,88031782694.3787
Georgia,2017,1,4.5,16561685511.0983
Guernsey,2017,1,1.9,0.0
Iceland,2017,1,1.8,19402600566.9271
Liechtenstein,2017,1,2.7,439594337732.543
Macau,2017,1,1.0,0.0
Nepal,2017,1,1.3,26662720369.2492
Romania,2017,1,1.1,197967999561.02
Slovakia,2017,1,1.1,93529165116.4867
Eswatini (Swaziland),2017,1,3.9,4114008066.96745
Tanzania,2017,1,1.4,54096327104.7372
United States,2018,586,3098.7,19651869117582.5
China,2018,372,1118.4,13493442283300.8
Germany,2018,123,578.7,3637409365003.91
India,2018,119,440.1,2588974770244.57
Russia,2018,101,409.3,1430116278515.49
Hong Kong,2018,67,334.7,337457421078.426
United Kingdom,2018,54,202.9,3106499243290.97
Canada,2018,46,148.5,1664832887596.13
South Korea,2018,44,126.8,1602194079769.04
Australia,2018,43,117.9,1461119016244.31
Italy,2018,43,170.4,1913894038939.75
Brazil,2018,42,176.4,1797736845059.11
France,2018,40,320.4,2556210832827.89
Switzerland,2018,36,123.8,738674253452.249
Turkey,2018,36,64.7,988958576886.064
Japan,2018,35,138.1,4582763011477.35
Taiwan,2018,35,84.4,0.0
Sweden,2018,32,124.6,532808626955.913
Thailand,2018,30,93.3,450682801200.339
Spain,2018,29,136.0,1307871701738.56
Singapore,2018,22,64.5,345177895368.501
Indonesia,2018,20,72.5,999178586345.587
Israel,2018,20,57.0,342868164572.703
Mexico,2018,16,141.0,1282719194684.06
Norway,2018,15,39.1,405690275911.956
Malaysia,2018,14,61.8,349191778300.005
Philippines,2018,12,55.3,373379140707.047
Chile,2018,11,41.9,260027117795.385
Denmark,2018,10,43.7,326500781458.764
Argentina,2018,9,15.6,583118120294.002
Ireland,2018,9,38.2,362262415044.573
Netherlands,2018,9,35.5,835096710123.568
Austria,2018,8,43.4,406235924727.366
Cyprus,2018,7,17.6,23845498646.5325
Lebanon,2018,7,13.3,50199119756.2008
Ukraine,2018,7,13.2,98783535745.5861
United Arab Emirates,2018,7,24.0,398914879841.349
Czechia,2018,6,30.1,209798950840.998
Egypt,2018,6,18.2,377141312302.669
Finland,2018,6,13.5,250058686750.391
Peru,2018,6,10.9,210305376512.78
Poland,2018,6,13.8,552573816155.989
Kazakhstan,2018,5,14.4,202016211108.857
South Africa,2018,5,20.9,358551560868.533
Greece,2018,4,9.6,201445880947.483
Kuwait,2018,4,5.2,115463873883.03
Monaco,2018,4,6.9,6602235351.40181
Vietnam,2018,4,10.5,293358610036.841
Colombia,2018,3,18.6,311479214511.795
Nigeria,2018,3,20.9,498365674277.734
St. Kitts and Nevis,2018,3,4.2,1017041453.06618
Belgium,2018,2,8.3,482317238512.932
Morocco,2018,2,3.8,120177639735.159
New Zealand,2018,2,12.2,197743680329.155
Oman,2018,2,5.4,84001727416.2074
Qatar,2018,2,2.8,166227185730.265
Venezuela,2018,2,5.5,857424342.542456
Algeria,2018,1,4.0,200496402625.83
Angola,2018,1,2.6,86872966032.8735
Georgia,2018,1,4.6,17565660917.3341
Guernsey,2018,1,2.3,0.0
Hungary,2018,1,1.1,140547430034.099
Iceland,2018,1,2.0,20351227274.147
Liechtenstein,2018,1,3.9,454537993853.636
Macau,2018,1,1.4,0.0
Nepal,2018,1,1.5,28695053195.3457
Portugal,2018,1,5.1,215937375267.637
Romania,2018,1,1.2,210085482250.697
Slovakia,2018,1,1.3,97328432384.4156
Eswatini (Swaziland),2018,1,4.3,4145651841.8002
Tanzania,2018,1,1.5,57054358529.8858
Zimbabwe,2018,1,1.4,22015177994.7607
United States,2019,607,3111.0,20159639089698.1
China,2019,324,980.7,14296369668065.2
Germany,2019,114,500.9,3673343090202.78
India,2019,106,405.3,2689205295885.31
Russia,2019,98,421.0,1461551317106.21
Hong Kong,2019,71,319.8,331813812733.896
Brazil,2019,58,179.7,1819683217790.43
United Kingdom,2019,54,182.0,3156963551827.52
Canada,2019,45,153.1,1696605089927.38
France,2019,41,329.9,2608036639287.32
South Korea,2019,40,103.6,1638146960195.06
Taiwan,2019,40,85.5,0.0
Australia,2019,36,114.4,1492847874023.89
Italy,2019,35,142.7,1922107755102.45
Sweden,2019,33,124.2,546393370671.191
Switzerland,2019,33,106.8,747109782866.389
Japan,2019,32,127.0,4564332550094.45
Thailand,2019,31,94.8,460212749509.626
Spain,2019,29,119.3,1333521400772.79
Turkey,2019,25,43.1,997053346501.186
Singapore,2019,22,71.3,349820740821.559
Indonesia,2019,21,78.5,1049330234035.85
Israel,2019,21,61.2,355846209596.501
Mexico,2019,17,132.5,1277682077988.06
Philippines,2019,17,47.7,396224439244.72
Norway,2019,15,36.3,410249333471.117
Malaysia,2019,13,61.6,364602265936.14
Chile,2019,11,37.3,261676645409.828
Denmark,2019,10,38.7,332088518914.51
Netherlands,2019,10,30.7,854304699361.253
Austria,2019,9,44.6,413365269561.549
Ireland,2019,9,37.2,380522434249.483
Czechia,2019,8,32.3,217279912678.49
Poland,2019,7,13.2,577884228677.544
Ukraine,2019,7,13.6,101944118787.095
United Arab Emirates,2019,7,19.7,403336245487.99
Cyprus,2019,6,19.9,25246562673.7657
Egypt,2019,6,15.8,398080548973.052
Finland,2019,6,11.8,253433824963.672
Lebanon,2019,6,11.1,46727888410.6848
Peru,2019,6,11.2,215017545590.315
Argentina,2019,5,10.9,571450737224.442
Kazakhstan,2019,5,16.4,211106940610.612
South Africa,2019,5,18.7,359483563936.676
Vietnam,2019,5,13.6,314947640805.601
Greece,2019,4,9.3,206033167541.336
Monaco,2019,4,6.3,7072373236.60927
Nigeria,2019,4,22.3,509371727735.743
Belgium,2019,3,11.1,494099718421.514
Colombia,2019,3,17.1,321405606655.842
Hungary,2019,2,2.1,147383974295.866
Morocco,2019,2,3.8,123651944968.713
New Zealand,2019,2,12.2,202414311267.63
Oman,2019,2,4.3,83053651985.4157
Slovakia,2019,2,2.6,99543529380.5199
St. Kitts and Nevis,2019,2,2.9,1045836615.95477
Venezuela,2019,2,4.9,863098154.725852
Algeria,2019,1,3.7,202300870249.462
Angola,2019,1,2.3,86262880684.9456
Georgia,2019,1,4.9,18510819818.4957
Guernsey,2019,1,2.2,0.0
Iceland,2019,1,2.1,20729999827.2907
Kuwait,2019,1,1.4,118077764579.78
Liechtenstein,2019,1,3.0,474081737618.703
Macau,2019,1,1.5,0.0
Nepal,2019,1,1.7,30605298792.5448
Portugal,2019,1,4.8,221866334776.915
Qatar,2019,1,1.6,167371229308.421
Romania,2019,1,1.2,218327690029.17
Eswatini (Swaziland),2019,1,4.9,4351364120.03953
Tanzania,2019,1,1.9,60363511324.6004
Zimbabwe,2019,1,2.5,20621078646.8294
United States,2020,615,2948.7,19723580221938.2
China,2020,387,1177.5,14616413683019.5
Germany,2020,105,444.8,3522914640155.8
India,2020,102,312.6,2533830417086.54
Russia,2020,98,384.0,1422766794794.99
Hong Kong,2020,67,311.5,310097369914.178
United Kingdom,2020,46,154.0,2831893576021.77
Brazil,2020,45,127.1,1760056587883.53
Canada,2020,44,142.8,1611126164920.14
France,2020,39,304.3,2413981867221.76
Italy,2020,36,125.6,1751650987476.49
Taiwan,2020,36,75.4,0.0
Switzerland,2020,35,96.4,731108654673.334
Australia,2020,31,95.0,1491062566266.52
Sweden,2020,31,106.6,535436339492.279
South Korea,2020,28,70.4,1626525694049.93
Singapore,2020,27,90.7,336283381521.284
Japan,2020,26,110.0,4375044252274.51
Spain,2020,24,97.1,1187633217272.88
Turkey,2020,23,38.9,1015597272884.83
Thailand,2020,20,66.4,432369701127.278
Israel,2020,17,51.3,350634465931.993
Indonesia,2020,15,53.7,1027656193922.98
Philippines,2020,15,31.0,358510629282.922
Malaysia,2020,12,44.7,344706479641.244
Mexico,2020,12,103.0,1170944075658.48
Norway,2020,12,26.2,405005642244.497
Netherlands,2020,11,28.7,821260591753.75
Austria,2020,9,41.2,387247796564.086
Ireland,2020,9,35.8,407759845120.691
Czechia,2020,8,32.3,205753475034.301
Denmark,2020,8,42.4,326176991303.13
Chile,2020,7,21.0,245600606661.894
Egypt,2020,6,16.8,412213064649.087
Finland,2020,6,11.7,247120696616.016
Lebanon,2020,6,10.2,36728167162.8739
Poland,2020,6,12.8,566120997479.772
Ukraine,2020,6,8.0,98118341609.8448
Argentina,2020,4,8.8,514874343768.066
Kazakhstan,2020,4,12.0,205829267103.2
South Africa,2020,4,15.4,337307318679.639
United Arab Emirates,2020,4,10.5,383342656303.629
Vietnam,2020,4,10.2,323972192107.065
Colombia,2020,3,13.7,298309675728.093
Cyprus,2020,3,14.7,24433463207.6976
Greece,2020,3,4.9,187085880547.56
Monaco,2020,3,4.6,6136054329.90152
Nigeria,2020,3,16.8,500232309808.216
New Zealand,2020,2,13.4,201554239788.002
Peru,2020,2,5.2,191509018299.917
Romania,2020,2,2.5,210305491425.986
Slovakia,2020,2,2.5,96969818956.4464
St. Kitts and Nevis,2020,2,2.2,885254137.279024
Algeria,2020,1,4.2,192185826736.989
Angola,2020,1,1.4,81399194250.7301
Belgium,2020,1,8.0,470417598481.151
Eswatini (Swaziland),2020,1,2.7,4225737498.25845
Georgia,2020,1,4.8,17346401920.57
Guernsey,2020,1,2.1,0.0
Hungary,2020,1,1.2,140770787502.349
Iceland,2020,1,2.0,19291243912.7068
Kuwait,2020,1,1.3,112389452571.326
Liechtenstein,2020,1,3.3,475602794987.658
Macao,2020,1,1.9,23271041384.4531
Morocco,2020,1,1.0,114775951852.213
Nepal,2020,1,1.4,29880069318.7261
Oman,2020,1,2.1,80246670660.8581
Portugal,2020,1,3.8,203663018337.793
Qatar,2020,1,1.2,161416823761.21
Tanzania,2020,1,1.6,61565931105.4141
Venezuela,2020,1,3.4,830825654.667515
Zimbabwe,2020,1,1.1,19009139106.1662
United States,2021,724,4398.4,20917853444668.3
China,2021,626,2531.9,15851276922873.1
India,2021,140,596.4,2779348258938.77
Germany,2021,135,623.9,3652205602572.65
Russia,2021,117,585.0,1502645054025.01
Hong Kong,2021,71,448.2,330112320112.002
Brazil,2021,65,211.7,1843881120012.46
Canada,2021,64,231.1,1696305710720.04
United Kingdom,2021,56,213.9,3074755378779.19
Italy,2021,51,204.5,1908092024347.85
Japan,2021,49,225.4,4487015645273.13
Taiwan,2021,47,115.6,0.0
Australia,2021,44,181.5,1522541404227.63
South Korea,2021,43,121.4,1696543311942.81
France,2021,42,512.2,2580120255345.61
Sweden,2021,41,182.0,567227918052.988
Switzerland,2021,40,145.5,770529214794.414
Thailand,2021,31,105.4,439150043937.792
Spain,2021,30,137.0,1267004457572.21
Singapore,2021,27,156.9,368871820049.825
Turkey,2021,27,55.2,1131775463573.96
Israel,2021,25,73.0,383397426954.248
Indonesia,2021,21,85.0,1065709127435.86
Malaysia,2021,17,68.0,356134704342.139
Philippines,2021,17,45.6,378998555004.406
Mexico,2021,13,136.1,1241768434200.36
Austria,2021,12,62.7,405817602863.188
Netherlands,2021,12,43.8,872809728969.262
Norway,2021,12,38.3,420836044228.583
Denmark,2021,10,61.3,350255593023.122
Chile,2021,9,42.7,273436873982.626
Czechia,2021,9,41.4,214043320209.36
Ireland,2021,9,42.9,474043708510.292
Poland,2021,8,20.3,605337233054.782
Finland,2021,7,16.5,253878739632.812
Ukraine,2021,7,18.9,101499127456.662
Egypt,2021,6,18.4,425777537421.996
Lebanon,2021,6,10.8,34156740537.1604
Peru,2021,6,11.4,217085487224.893
Vietnam,2021,6,16.7,332245562394.77
Argentina,2021,5,15.3,568636554720.066
Colombia,2021,5,26.2,330530695024.886
Cyprus,2021,5,18.1,27215888177.2701
Kazakhstan,2021,5,16.9,214679925583.069
South Africa,2021,5,22.1,354021006263.537
Greece,2021,4,13.9,203277224063.029
United Arab Emirates,2021,4,11.0,400036290943.156
Belgium,2021,3,12.6,499595504127.06
Monaco,2021,3,4.8,7500235156.94536
Nigeria,2021,3,22.5,518476715283.896
Georgia,2021,2,8.0,19192793472.268
Hungary,2021,2,2.7,150710923361.943
Iceland,2021,2,3.2,20304846331.8777
Morocco,2021,2,3.2,124135631043.727
New Zealand,2021,2,11.1,210717394654.719
Portugal,2021,2,7.2,214984151691.324
Qatar,2021,2,2.9,164042828071.657
Romania,2021,2,7.7,221968423307.804
Slovakia,2021,2,2.9,102523269375.456
Algeria,2021,1,4.8,199488888152.994
Armenia,2021,1,1.0,12633615899.6682
Eswatini (Swaziland),2021,1,4.7,4369384623.38277
Guernsey,2021,1,2.6,0.0
Liechtenstein,2021,1,5.5,485946125646.535
Macau,2021,1,3.1,0.0
Nepal,2021,1,1.4,31325711777.1674
Oman,2021,1,2.3,82318780120.4001
St. Kitts and Nevis,2021,1,1.6,889500509.777815
Tanzania,2021,1,1.6,64226431583.1539
Venezuela,2021,1,3.2,837088394.191465
Zimbabwe,2021,1,1.5,20618836217.7637
United States,2022,735,4701.1,21443388432051.0
China,2022,539,1962.45,16318995784492.7
India,2022,166,749.8,2973542414790.52
Germany,2022,134,608.0,3702230996916.9
Russia,2022,78,291.0,1471544636157.84
Hong Kong,2022,67,383.4,317952397986.884
Canada,2022,65,312.6,1761102321572.64
Brazil,2022,63,194.1,1899505377653.06
Italy,2022,52,194.5,1997042745688.22
Taiwan,2022,51,150.9,0.0
United Kingdom,2022,50,200.1,3223545409624.7
Australia,2022,46,207.1,1587133480804.53
Sweden,2022,45,165.7,575505409872.88
France,2022,43,550.0,2646451031159.26
South Korea,2022,41,109.3,1740868427277.01
Switzerland,2022,41,181.9,790318933740.326
Japan,2022,40,154.5,4529854841042.58
Indonesia,2022,30,115.1,1122270779856.21
Israel,2022,30,112.6,408204664808.542
Thailand,2022,28,95.3,449965296578.7
Spain,2022,27,116.0,1345296618919.51
Singapore,2022,26,106.7,383029403742.294
Turkey,2022,24,40.8,1194401442556.95
Malaysia,2022,17,63.1,387694727478.777
Philippines,2022,17,43.2,407730367724.121
Mexico,2022,15,160.9,1287578651261.79
Norway,2022,13,40.9,433484840343.081
Austria,2022,11,61.7,427236226636.132
Netherlands,2022,11,38.0,916513359627.026
Czechia,2022,9,49.0,220137498815.997
Denmark,2022,9,57.0,355650135472.963
Ireland,2022,9,54.8,514903922802.965
Cyprus,2022,8,27.2,29220507767.0398
Chile,2022,7,38.6,279066228503.412
Finland,2022,7,12.6,257560103403.906
Poland,2022,7,20.8,637150470884.733
Ukraine,2022,7,11.9,72309415411.3627
Vietnam,2022,7,21.2,359235578724.112
Argentina,2022,6,14.0,598603016935.287
Egypt,2022,6,18.3,453827104224.605
Kazakhstan,2022,6,19.8,221549683201.099
Lebanon,2022,6,12.6,33944395264.1769
Romania,2022,6,10.2,230770154206.928
South Africa,2022,5,25.0,360788046853.641
Colombia,2022,4,24.1,354622693594.661
Monaco,2022,4,15.1,8328781591.62882
United Arab Emirates,2022,4,22.9,430077804411.91
Belgium,2022,3,11.9,520745539238.467
Greece,2022,3,7.8,214952754695.546
New Zealand,2022,3,13.2,216564470789.24
Nigeria,2022,3,28.2,535335926240.996
Peru,2022,3,7.8,223002152647.317
Bulgaria,2022,2,4.0,62130535277.7185
Georgia,2022,2,6.7,21296041913.2144
Hungary,2022,2,2.5,157618619387.289
Iceland,2022,2,3.6,22130761184.0171
Morocco,2022,2,3.3,126031434844.786
Qatar,2022,2,3.3,170908036360.673
Slovakia,2022,2,3.0,102984289733.717
Uruguay,2022,2,3.0,61761057234.7987
Algeria,2022,1,5.1,206670488126.502
Barbados,2022,1,1.7,5352561584.79213
Belize,2022,1,3.6,2524886205.2506
Estonia,2022,1,1.2,28434426605.4652
Eswatini (Swaziland),2022,1,5.3,4366430077.90613
Guernsey,2022,1,2.5,0.0
Liechtenstein,2022,1,2.3,503780277751.377
Macau,2022,1,1.9,0.0
Nepal,2022,1,1.5,33089761145.0969
Oman,2022,1,2.5,90202537058.2429
Portugal,2022,1,4.7,230002604720.83
St. Kitts and Nevis,2022,1,1.5,983101307.730931
Tanzania,2022,1,1.5,67159014151.451
Venezuela,2022,1,3.5,897022524.154038
Zimbabwe,2022,1,3.0,21884680855.3787
United States,2023,734,4489.0,22062578283266.8
China,2023,490,1644.7,17175670911003.5
India,2023,169,674.8,3215973434046.11
Germany,2023,126,585.4,3692366831510.82
Russia,2023,103,469.7,1524520243059.52
Hong Kong,2023,69,367.3,328370191789.519
Italy,2023,64,215.6,2010974774790.36
Canada,2023,63,245.1,1783097209318.73
United Kingdom,2023,53,203.8,3234504373105.3
Taiwan,2023,52,136.1,0.0
Brazil,2023,51,160.4,1954752120905.5
