Name,Country,Net_Worth_Billions,Source_of_Wealth,Wealth_Type,Generation_of_Wealth,Age_Became_Billionaire,Education_Level,Company_Founded,Philanthropy_Level
Charles Butt,Brazil,8.5,Retail,Self-Made,First Generation,26,Bachelor’s,No,Medium
"Edward Roski, Jr.",UK,63.81,Real Estate,Self-Made,Second Generation,45,Bachelor’s,Yes,Low
Ted Turner,Switzerland,86.33,Energy,Self-Made,Second Generation,55,Bachelor’s,No,Low
Zhong Sheng Jian,Switzerland,26.33,Media,Self-Made,First Generation,28,Bachelor’s,Yes,High
Barbara Carlson Gage,USA,30.13,Real Estate,Self-Made,First Generation,34,Bachelor’s,No,Low
Marilyn Carlson Nelson,Thailand,96.04,Real Estate,Self-Made,First Generation,48,Master’s,Yes,Low
Denis O''Brien,India,68.22,Manufacturing,Inherited,Multi-Generational,40,Master’s,No,Medium
David Azrieli & family,Switzerland,38.4,Energy,Self-Made,First Generation,49,Master’s,Yes,High
John Catsimatidis,Japan,50.18,Manufacturing,Inherited,Multi-Generational,33,Master’s,No,Medium
Archie Aldis Emmerson,Thailand,86.61,Finance,Self-Made,First Generation,27,Bachelor’s,No,Medium
"David Hearst, Jr.",Japan,97.13,Finance,Self-Made,Second Generation,50,Bachelor’s,No,Medium
"George Hearst, Jr.",USA,28.22,Tech,Self-Made,First Generation,48,Master’s,Yes,High
Rajan Raheja,Germany,64.87,Energy,Self-Made,Second Generation,33,Bachelor’s,Yes,Medium
Helmut Sohmen,Switzerland,96.22,Manufacturing,Self-Made,Second Generation,48,PhD,No,Medium
J. Christopher Flowers,Germany,35.44,Real Estate,Inherited,Multi-Generational,37,Bachelor’s,No,Medium
Joshua Harris,Japan,64.12,Finance,Self-Made,Second Generation,26,Bachelor’s,No,Low
Michael Hartono,Saudi Arabia,76.95,Manufacturing,Self-Made,First Generation,43,Bachelor’s,No,Medium
Rulun Huang,Japan,32.09,Real Estate,Inherited,Second Generation,22,None,No,Medium
Danil Khachaturov,Germany,77.01,Finance,Self-Made,Second Generation,30,Bachelor’s,Yes,Low
Frederik G.H. Meijer,Thailand,72.18,Energy,Self-Made,First Generation,34,None,Yes,Medium
Kerr Neilson,Japan,71.11,Media,Self-Made,First Generation,55,Master’s,Yes,High
Peter Peterson,India,64.79,Media,Self-Made,Multi-Generational,28,Dropout,No,Low
Jerry Speyer,India,68.23,Tech,Inherited,Second Generation,37,Bachelor’s,No,Medium
"William Wrigley, Jr.",Germany,98.73,Energy,Self-Made,First Generation,47,Master’s,Yes,Medium
Igor Altushkin,USA,89.36,Retail,Self-Made,Multi-Generational,55,PhD,Yes,Medium
"Thomas Frist, Jr. & family",Switzerland,9.1,Real Estate,Self-Made,First Generation,55,Master’s,Yes,Low
Jean-Claude Gandur,Switzerland,6.87,Retail,Self-Made,First Generation,27,Bachelor’s,No,Low
Xiangjian He & family,Switzerland,47.15,Tech,Self-Made,First Generation,39,Dropout,Yes,Medium
Yuri Kovalchuk,Saudi Arabia,78.8,Tech,Self-Made,First Generation,51,Bachelor’s,Yes,Medium
Joe Mansueto,Switzerland,66.07,Retail,Self-Made,Second Generation,26,Dropout,Yes,Low
Martua Sitorus,Saudi Arabia,51.83,Tech,Inherited,Multi-Generational,37,Master’s,No,Medium
Ken Fisher,India,26.85,Energy,Self-Made,First Generation,25,Bachelor’s,Yes,Low
Pyotr Kondrashev,Saudi Arabia,6.86,Manufacturing,Self-Made,Multi-Generational,32,Bachelor’s,No,Low
Masahiro Miki,Thailand,69.24,Energy,Self-Made,First Generation,28,Bachelor’s,Yes,Low
"Henry Nicholas, III.",Switzerland,6.63,Finance,Self-Made,Multi-Generational,39,Bachelor’s,Yes,Low
Ralph Sonnenberg,UK,80.8,Real Estate,Self-Made,Multi-Generational,50,None,Yes,Low
Katsumi Tada,India,32.21,Media,Self-Made,First Generation,27,Dropout,No,Medium
"Edward DeBartolo, Jr.",Germany,59.6,Tech,Self-Made,First Generation,25,Master’s,No,Medium
John Doerr,Saudi Arabia,6.22,Tech,Self-Made,First Generation,27,None,Yes,Low
Alexander Dzhaparidze,UK,78.63,Real Estate,Self-Made,Multi-Generational,48,Dropout,Yes,Medium
Philip Falcone,India,32.28,Real Estate,Self-Made,Second Generation,28,None,Yes,Medium
Lindsay Fox,Brazil,27.74,Finance,Self-Made,Second Generation,42,Bachelor’s,Yes,Low
Erman Ilicak,Switzerland,76.56,Retail,Self-Made,First Generation,41,Bachelor’s,Yes,Low
"Bill Marriott, Jr.",Japan,11.54,Energy,Self-Made,Second Generation,46,Bachelor’s,No,Medium
Sergei Petrov,India,20.29,Manufacturing,Self-Made,First Generation,36,Master’s,Yes,High
"Wilbur Ross, Jr.",Thailand,87.71,Finance,Self-Made,First Generation,25,None,Yes,Low
Mohammed Al Rajhi & family,Switzerland,71.89,Manufacturing,Self-Made,Second Generation,53,PhD,Yes,Low
Chen Yihong,Brazil,79.05,Energy,Self-Made,First Generation,30,Bachelor’s,Yes,Medium
Ralph Dommermuth,Switzerland,26.06,Energy,Inherited,Multi-Generational,26,Dropout,No,Low
Tom Golisano,Brazil,43.29,Energy,Self-Made,First Generation,37,Master’s,Yes,High
Stanley Hubbard,UK,30.47,Real Estate,Self-Made,Second Generation,39,Bachelor’s,Yes,Low
Michael & Marian Ilitch & family,Switzerland,59.78,Energy,Inherited,Multi-Generational,38,Dropout,No,Medium
Randal Kirk,UK,3.05,Tech,Self-Made,First Generation,52,Bachelor’s,Yes,High
Melker Schorling,Brazil,81.17,Retail,Inherited,Multi-Generational,19,Bachelor’s,No,Medium
"Walter Scott, Jr.",Saudi Arabia,14.99,Media,Inherited,Multi-Generational,18,Master’s,No,Low
Wenrong Shen,India,36.7,Energy,Self-Made,First Generation,31,Bachelor’s,Yes,Low
Yang Xian,India,37.8,Media,Inherited,Multi-Generational,25,PhD,No,Medium
Guiping Zhang & family,Japan,26.61,Retail,Inherited,Multi-Generational,35,Master’s,No,Low
John Arnold,Saudi Arabia,43.31,Energy,Inherited,Multi-Generational,36,Master’s,No,Low
Ron Baron,Brazil,60.85,Media,Inherited,Multi-Generational,32,Dropout,No,High
Andrew Beal,India,45.41,Finance,Inherited,Multi-Generational,40,Dropout,No,Medium
Ahmet Calik,India,44.51,Tech,Self-Made,First Generation,29,None,No,Low
Bharat Desai & family,Saudi Arabia,60.37,Finance,Self-Made,Second Generation,29,Master’s,No,Medium
"Jeremy Jacobs, Sr.",Brazil,71.34,Energy,Self-Made,Multi-Generational,33,Dropout,Yes,Medium
"Joe Jamail, Jr.",Germany,9,Manufacturing,Self-Made,First Generation,55,Bachelor’s,No,Low
Marc Lasry,India,71.03,Energy,Self-Made,Second Generation,30,Bachelor’s,Yes,Low
Andrei Rogachev,Thailand,59.18,Finance,Inherited,Second Generation,32,Dropout,No,High
Marc Rowan,Switzerland,48.67,Retail,Self-Made,Second Generation,35,PhD,No,Medium
Nikolai Sarkisov,Switzerland,20.16,Energy,Self-Made,First Generation,55,Bachelor’s,Yes,Medium
Sergei Sarkisov,India,8.9,Retail,Self-Made,First Generation,37,Bachelor’s,Yes,Low
Zhang Keqiang,Brazil,20.18,Media,Self-Made,Multi-Generational,47,Master’s,Yes,Medium
Mark Zuckerberg,UK,97.15,Energy,Self-Made,Multi-Generational,27,Bachelor’s,Yes,Low
Ali Ibrahim Agaoglu,USA,36.25,Tech,Self-Made,First Generation,27,Master’s,No,Medium
Farkhad Akhmedov,Thailand,6.12,Manufacturing,Self-Made,First Generation,39,Dropout,Yes,Low
James Dinan,India,61.62,Finance,Inherited,Multi-Generational,20,Dropout,No,Medium
Jayme Garfinkel,USA,89.48,Energy,Self-Made,Second Generation,46,None,Yes,Medium
Huang Maoru & family,USA,53.02,Real Estate,Self-Made,First Generation,44,Bachelor’s,No,Low
Bruce Karsh,Switzerland,9.45,Finance,Inherited,Second Generation,34,Master’s,No,Medium
Robin Li,Brazil,35.37,Finance,Self-Made,Second Generation,35,Master’s,Yes,Low
Huateng Ma,Saudi Arabia,8.46,Retail,Inherited,Multi-Generational,29,Bachelor’s,No,Low
Howard Marks,USA,20.57,Finance,Self-Made,Multi-Generational,41,Master’s,Yes,High
"Drayton McLane, Jr.",Brazil,93.96,Real Estate,Self-Made,First Generation,50,Dropout,No,Low
Alexander Ponomarenko,USA,5.66,Manufacturing,Self-Made,First Generation,45,Bachelor’s,Yes,Medium
Leandro Rizzuto,Thailand,68.59,Retail,Inherited,Second Generation,36,Bachelor’s,No,Medium
Alexander Skorobogatko,Brazil,34.19,Retail,Self-Made,Multi-Generational,30,None,Yes,Medium
Thomas Straumann,UK,13.67,Finance,Self-Made,Multi-Generational,28,Master’s,No,Medium
Gautam Thapar,India,4.9,Energy,Inherited,Second Generation,38,Master’s,No,Medium
Sanford Weill,Thailand,91.42,Media,Inherited,Multi-Generational,30,Bachelor’s,No,Medium
Dhanin Chearavanont & family,UK,26.82,Finance,Inherited,Second Generation,36,None,No,Low
Glenn Dubin,UK,45.46,Tech,Self-Made,Multi-Generational,42,PhD,Yes,Medium
Faruk Eczacibasi,Thailand,53.76,Real Estate,Self-Made,First Generation,49,Bachelor’s,Yes,High
Frank Fertitta,UK,46.32,Finance,Inherited,Multi-Generational,20,Master’s,No,Medium
Lorenzo Fertitta,Switzerland,54.26,Retail,Self-Made,First Generation,27,None,No,Low
Mubariz Gurbanoglu,Germany,43.68,Retail,Self-Made,Second Generation,41,None,Yes,Low
Andrei Komarov,Saudi Arabia,98.67,Real Estate,Self-Made,First Generation,25,Bachelor’s,Yes,Medium
Kong Jian Min,UK,35.11,Energy,Self-Made,First Generation,37,Dropout,No,Medium
Kuok Khoon Hong,India,75.93,Energy,Inherited,Second Generation,39,None,No,Medium
Michael Moritz,Switzerland,95.33,Retail,Inherited,Second Generation,22,Bachelor’s,No,High
"Julian Robertson, Jr.",India,98.91,Finance,Inherited,Second Generation,18,Master’s,No,Low
Dan Snyder,Japan,86.39,Retail,Inherited,Second Generation,29,Bachelor’s,No,Medium
Henry Swieca,India,34.7,Real Estate,Self-Made,First Generation,42,Dropout,Yes,High
Meg Whitman,Thailand,91.77,Energy,Self-Made,First Generation,44,Bachelor’s,Yes,Low
Olgun Zorlu,Brazil,8.24,Finance,Inherited,Multi-Generational,28,PhD,No,Low
Aras Agalarov,Japan,32.99,Media,Inherited,Multi-Generational,37,Dropout,No,Medium
Alberto Alcocer,Switzerland,86.71,Energy,Self-Made,Multi-Generational,48,Master’s,No,Low
Richard Chilton Jr,Switzerland,27.96,Real Estate,Self-Made,First Generation,32,Bachelor’s,Yes,High
Leon G. Cooperman,Brazil,73.59,Tech,Inherited,Multi-Generational,27,Dropout,No,Low
Alberto Cortina,UK,56.42,Tech,Self-Made,Second Generation,52,None,No,High
Wesley Edens,Switzerland,44.23,Energy,Self-Made,First Generation,40,Dropout,Yes,High
Dekang Gao & family,Thailand,26.24,Retail,Inherited,Multi-Generational,31,Bachelor’s,No,Low
Sameer Gehlaut,Japan,72.72,Retail,Self-Made,First Generation,41,Bachelor’s,No,Low
Johnelle Hunt,Germany,72.85,Manufacturing,Self-Made,First Generation,38,Bachelor’s,No,Medium
Igor Kesaev,Germany,63.67,Finance,Self-Made,First Generation,52,Master’s,Yes,High
Li Lin,India,13.14,Manufacturing,Inherited,Second Generation,32,PhD,No,Low
Alexander Mamut,India,66.52,Tech,Self-Made,First Generation,41,Bachelor’s,Yes,Medium
Ahsen Ozokur,Switzerland,8.04,Energy,Inherited,Multi-Generational,21,Dropout,No,Medium
Peter Sondakh,UK,39.67,Retail,Self-Made,First Generation,51,Bachelor’s,No,Low
Thomas Steyer,Brazil,37.69,Media,Self-Made,Multi-Generational,51,PhD,Yes,High
Peter Thiel,Thailand,81.83,Media,Self-Made,First Generation,33,Master’s,Yes,Medium
Anu Aga,India,1.83,Media,Inherited,Multi-Generational,38,Bachelor’s,No,Medium
Michael Eisner,Thailand,88.17,Finance,Self-Made,First Generation,34,Master’s,Yes,Medium
Richard Elman & family,India,59.74,Manufacturing,Self-Made,First Generation,36,Bachelor’s,No,Low
Dorrance Hamilton & family,UK,8.62,Media,Self-Made,Second Generation,38,Dropout,No,High
Viktor Kharitonin,Switzerland,78.58,Finance,Self-Made,First Generation,46,Bachelor’s,No,High
Habil Khorakiwala,India,31.22,Energy,Inherited,Second Generation,36,Bachelor’s,No,Low
Bon-Moo Koo,Germany,26.44,Tech,Self-Made,First Generation,31,None,Yes,Low
Li San Yim,USA,89.79,Tech,Inherited,Multi-Generational,39,Bachelor’s,No,Low
Jack Ma,Japan,53.65,Retail,Self-Made,First Generation,29,PhD,Yes,Medium
Megdet Rahimkulov & family,Germany,35.02,Retail,Self-Made,Second Generation,54,Bachelor’s,Yes,High
Serra Sabanci,Saudi Arabia,32.42,Real Estate,Inherited,Second Generation,38,Master’s,No,Medium
Charles Simonyi,Germany,66.02,Retail,Self-Made,First Generation,38,None,Yes,High
Michael Spencer,Saudi Arabia,80.98,Manufacturing,Inherited,Multi-Generational,40,Dropout,No,Medium
"Alfred West, Jr.",Brazil,7.76,Media,Self-Made,First Generation,55,PhD,Yes,Medium
Mary West,Germany,77.72,Media,Self-Made,First Generation,38,None,Yes,Medium
Gavril Yushvaev,India,59.6,Real Estate,Inherited,Multi-Generational,22,Master’s,No,High
Zhixiang Zhang,Germany,49.04,Manufacturing,Self-Made,First Generation,43,Dropout,Yes,High
Stephen Feinberg,Germany,81.45,Tech,Self-Made,Multi-Generational,51,Dropout,Yes,Medium
Ted Forstmann,USA,68.29,Manufacturing,Self-Made,Second Generation,46,Dropout,Yes,Low
Paul Foster,Switzerland,16.73,Finance,Self-Made,Multi-Generational,36,PhD,Yes,Medium
Jianming Geng,Thailand,73.37,Real Estate,Self-Made,First Generation,48,Bachelor’s,Yes,Low
Rakesh Jhunjhunwala,Germany,39.68,Real Estate,Self-Made,Second Generation,32,PhD,Yes,Low
Peter Lim,Japan,16.41,Finance,Inherited,Multi-Generational,22,Bachelor’s,No,Medium
Liu Hanyuan,Germany,95.49,Tech,Self-Made,Second Generation,35,Bachelor’s,Yes,Medium
"Stephen Mandel, Jr.",Brazil,7.49,Retail,Inherited,Second Generation,22,Dropout,No,Medium
Lowell Milken,Saudi Arabia,75.55,Retail,Self-Made,First Generation,25,Dropout,Yes,Low
Minoru Mori,Saudi Arabia,94.22,Manufacturing,Self-Made,First Generation,55,Dropout,Yes,Medium
Deniz Sahenk,India,27.23,Tech,Self-Made,Second Generation,27,Bachelor’s,Yes,Medium
Guangxin Sun,Germany,67.26,Finance,Self-Made,First Generation,47,Bachelor’s,Yes,Medium
Gordon Wu,Switzerland,48,Media,Self-Made,First Generation,35,Bachelor’s,Yes,Medium
Aloys Wobben,Switzerland,36.34,Finance,Self-Made,First Generation,54,Bachelor’s,Yes,Low
Heinz Hermann Thiele & family,UK,41.22,Tech,Self-Made,Second Generation,43,Bachelor’s,Yes,Medium
Chengjian Zhou & family,India,61.11,Finance,Self-Made,First Generation,29,None,Yes,High
John Paul DeJoria,Germany,21.56,Retail,Inherited,Second Generation,38,Bachelor’s,No,Low
Bernard Broermann,India,47.78,Energy,Inherited,Multi-Generational,34,Bachelor’s,No,Low
Alexandra Schorghuber,Switzerland,47.84,Finance,Inherited,Second Generation,22,PhD,No,Medium
Bill Gross,USA,22.88,Tech,Self-Made,First Generation,39,Bachelor’s,No,Medium
Nicolas Berggruen,Thailand,32.19,Media,Inherited,Multi-Generational,23,Bachelor’s,No,Medium
"Henry Ross Perot, Jr.",UK,94.1,Finance,Inherited,Second Generation,40,Bachelor’s,No,Medium
Furen Zhou & family,Thailand,60.21,Tech,Self-Made,First Generation,33,Bachelor’s,No,Low
Leon Charney,Brazil,29.72,Finance,Inherited,Multi-Generational,36,Bachelor’s,No,Low
Maggie Magerko,USA,63.52,Real Estate,Self-Made,First Generation,53,None,Yes,Medium
"Austen Cargill, II.",Thailand,16.56,Manufacturing,Self-Made,Second Generation,53,Dropout,Yes,Medium
"James Cargill, II.",Switzerland,11.54,Manufacturing,Inherited,Second Generation,35,Dropout,No,Low
Jeff Greene,USA,5.32,Tech,Inherited,Multi-Generational,24,PhD,No,Low
Marianne Liebmann,Japan,73.36,Real Estate,Self-Made,First Generation,39,Dropout,No,Low
Chuanfu Wang,UK,12.94,Finance,Self-Made,First Generation,39,PhD,No,Low
Norman Braman,UK,64.13,Finance,Self-Made,First Generation,37,Bachelor’s,Yes,Medium
Alfred James Clark,UK,85.71,Manufacturing,Self-Made,Second Generation,27,Bachelor’s,Yes,Medium
Femi Otedola,Thailand,12.99,Retail,Self-Made,First Generation,49,Bachelor’s,Yes,Low
"Kenneth Adams, Jr.",Switzerland,40.19,Media,Self-Made,Second Generation,43,Bachelor’s,Yes,Low
Dou Zhenggang,UK,2.25,Energy,Inherited,Second Generation,40,Bachelor’s,No,Medium
John Henry,India,19.05,Energy,Self-Made,First Generation,33,PhD,No,Medium
James Irsay,India,97.11,Finance,Self-Made,Second Generation,35,Bachelor’s,Yes,Medium
Michael Federmann & family,Saudi Arabia,45.86,Finance,Self-Made,First Generation,26,Bachelor’s,No,High
Joaquin Guzman Loera,Brazil,22.19,Finance,Self-Made,First Generation,42,Bachelor’s,Yes,Low
Leslie Lampton,Japan,15.13,Tech,Self-Made,First Generation,45,Dropout,Yes,High
Rong San Lin,Saudi Arabia,61,Finance,Self-Made,First Generation,27,Dropout,Yes,High
Niels Peter Louis-Hansen,Brazil,57.21,Finance,Self-Made,First Generation,50,Master’s,Yes,Medium
Jeffrey Lurie,Thailand,20.62,Tech,Inherited,Multi-Generational,35,None,No,Medium
William Macaulay,Brazil,75.4,Real Estate,Self-Made,Second Generation,26,None,Yes,Low
Manuel Moroun & family,Brazil,40.52,Real Estate,Self-Made,First Generation,42,Bachelor’s,Yes,High
Alexander Rovt,Brazil,21.83,Real Estate,Self-Made,Multi-Generational,48,Bachelor’s,Yes,Medium
Thomas Sandell,Thailand,58.35,Retail,Inherited,Multi-Generational,23,Master’s,No,Medium
Thomas Secunda,UK,38.65,Energy,Inherited,Second Generation,22,Bachelor’s,No,Medium
Yicai Zhu & wife,India,49.3,Media,Inherited,Multi-Generational,35,Dropout,No,Medium
Li Ka-shing,India,47.88,Tech,Inherited,Multi-Generational,32,Bachelor’s,No,Medium
Lee Shau Kee,Saudi Arabia,26.08,Retail,Inherited,Multi-Generational,31,Bachelor’s,No,Low
Kwok Thomas & Raymond & family,Germany,93.8,Retail,Self-Made,Second Generation,27,Master’s,Yes,High
Theo Albrecht,UK,17.71,Energy,Self-Made,Second Generation,48,Master’s,Yes,Medium
Shashi & Ravi Ruia,India,27.91,Retail,Self-Made,Multi-Generational,53,Bachelor’s,No,High
Savitri Jindal & family,Thailand,9.26,Real Estate,Self-Made,First Generation,50,Bachelor’s,Yes,Low
Dan Duncan,Japan,97.53,Finance,Self-Made,First Generation,28,Master’s,Yes,Low
Alberto Bailleres Gonzalez & family,Saudi Arabia,27.52,Real Estate,Self-Made,Second Generation,45,Dropout,Yes,Medium
"Eliodoro, Bernardo & Patricia Matte",Switzerland,60.64,Energy,Self-Made,Multi-Generational,42,Dropout,No,Medium
David & Simon Reuben,India,16.83,Energy,Self-Made,First Generation,28,Master’s,Yes,Low
Nobutada Saji & family,India,24.81,Tech,Self-Made,First Generation,54,Bachelor’s,Yes,Low
Alain & Gerard Wertheimer,Saudi Arabia,68.21,Retail,Inherited,Second Generation,20,Bachelor’s,No,Low
Lee Kun-Hee,Saudi Arabia,13.1,Manufacturing,Inherited,Multi-Generational,23,Bachelor’s,No,Low
Zong Qinghou,Thailand,60.84,Energy,Inherited,Second Generation,39,Dropout,No,Medium
Cheng Yu-tung,Thailand,40.49,Manufacturing,Self-Made,First Generation,47,Bachelor’s,No,Medium
Philip & Cristina Green,Germany,95.17,Real Estate,Inherited,Second Generation,23,None,No,High
John Kluge,Japan,24.61,Finance,Inherited,Multi-Generational,21,Bachelor’s,No,Low
Saleh Al Rajhi,Brazil,72.16,Retail,Self-Made,First Generation,39,None,No,Medium
Liu Yongxing,Japan,45.77,Finance,Self-Made,First Generation,30,None,Yes,Low
Horst Paulmann & family,Saudi Arabia,66.02,Media,Inherited,Second Generation,35,None,No,Low
Tsai Wan-tsai,Germany,18.69,Finance,Self-Made,First Generation,46,Bachelor’s,Yes,Medium
Isak Andic & family,Saudi Arabia,18.62,Media,Self-Made,First Generation,46,Dropout,Yes,Medium
Zhang Jindong,UK,16.86,Finance,Self-Made,First Generation,30,Bachelor’s,No,Medium
Lee Shin Cheng,Thailand,72.83,Finance,Self-Made,Multi-Generational,31,Bachelor’s,Yes,Medium
Elizabeth Mohn & family,Germany,75.18,Tech,Self-Made,First Generation,28,Dropout,Yes,Medium
Wang Chuanfu,Japan,41.73,Finance,Inherited,Second Generation,23,Bachelor’s,No,Low
Tsai Eng-Meng,Japan,40.3,Retail,Inherited,Multi-Generational,32,Bachelor’s,No,Low
Hui Ka Yan,India,5.04,Manufacturing,Self-Made,First Generation,50,None,Yes,Medium
James & Arthur Irving,USA,29.01,Media,Self-Made,Second Generation,27,PhD,No,Low
Nicolas Hayek,Thailand,3.72,Retail,Inherited,Second Generation,34,Bachelor’s,No,Low
Wu Yajun & family,Japan,29.83,Real Estate,Self-Made,First Generation,40,Master’s,Yes,Medium
Paul Milstein & family,USA,73.65,Manufacturing,Self-Made,First Generation,25,PhD,Yes,Medium
Hermann Schnabel,USA,34.63,Manufacturing,Self-Made,First Generation,53,Bachelor’s,Yes,Low
Chung Mong-Koo,India,46,Manufacturing,Inherited,Second Generation,22,Master’s,No,Medium
Liang Wengen,Germany,84.83,Manufacturing,Inherited,Second Generation,18,Bachelor’s,No,Low
Ma Huateng,India,7.26,Finance,Self-Made,First Generation,31,Dropout,Yes,Low
Denis O'Brien,USA,37.02,Finance,Self-Made,First Generation,27,Bachelor’s,Yes,Medium
Michael & Rainer Schmidt-Ruthenbeck,Brazil,85.73,Real Estate,Inherited,Second Generation,32,Bachelor’s,No,Low
Martin & Olivier Bouygues,Japan,35.81,Energy,Inherited,Multi-Generational,34,Master’s,No,High
Chen Fashu,Germany,17.19,Energy,Inherited,Second Generation,32,Dropout,No,Medium
Quek Leng Chan,Brazil,63.84,Manufacturing,Self-Made,Multi-Generational,42,None,Yes,Medium
Teh Hong Piow,Germany,10.88,Energy,Inherited,Multi-Generational,28,PhD,No,Medium
Yang Huiyan,UK,47.01,Real Estate,Inherited,Multi-Generational,22,Bachelor’s,No,Low
He Xiangjian,USA,10.55,Tech,Self-Made,Second Generation,39,Master’s,Yes,High
Hui Wing Mau,Switzerland,87.13,Real Estate,Inherited,Second Generation,22,Dropout,No,Medium
Chen Din Hwa,Japan,1.42,Media,Inherited,Second Generation,27,Master’s,No,High
Liu Zhongtian,Switzerland,46.58,Finance,Self-Made,First Generation,29,Bachelor’s,Yes,Medium
Malvinder & Shivinder Singh,India,53.68,Manufacturing,Self-Made,First Generation,32,Bachelor’s,Yes,Low
Lu Xiangyang,Switzerland,95.77,Manufacturing,Self-Made,Multi-Generational,31,PhD,Yes,Medium
Zhou Chengjian,USA,17.18,Retail,Self-Made,Second Generation,32,Master’s,Yes,Medium
Joe Lewis,Japan,31.53,Real Estate,Self-Made,First Generation,29,PhD,No,Medium
Warren Stephens,Thailand,72.56,Real Estate,Inherited,Multi-Generational,22,Dropout,No,Medium
Wang Jianlin,Japan,73.57,Real Estate,Self-Made,First Generation,50,None,Yes,Low
Subhash Chandra & family,Saudi Arabia,83.21,Energy,Self-Made,First Generation,37,PhD,No,Low
Edgar Bronfman Sr,UK,20.25,Retail,Inherited,Second Generation,26,PhD,No,Low
W. Barron Hilton,Thailand,40.44,Finance,Self-Made,Second Generation,35,Bachelor’s,Yes,Low
Liu Yonghao & family,India,80.17,Manufacturing,Self-Made,First Generation,31,Bachelor’s,Yes,Low
Lu Zhiqiang,Brazil,37.02,Energy,Inherited,Multi-Generational,24,Bachelor’s,No,Low
Zhang Zhirong,India,9.32,Tech,Self-Made,First Generation,43,Bachelor’s,Yes,Low
John Dorrance III,Brazil,17.5,Energy,Self-Made,First Generation,47,Bachelor’s,Yes,Medium
Guo Guangchang,UK,24.53,Tech,Inherited,Second Generation,23,PhD,No,Low
Hawken Xiu Li,UK,28.04,Real Estate,Self-Made,First Generation,33,PhD,No,Medium
Lu Guanqiu,Japan,99.08,Finance,Self-Made,Second Generation,35,Bachelor’s,Yes,Medium
Zhu Yicai,Switzerland,38.09,Media,Self-Made,First Generation,32,Dropout,No,Low
David & Frederick Barclay,Germany,26.85,Media,Self-Made,First Generation,52,Bachelor’s,Yes,Low
Huang Rulun,Saudi Arabia,5.82,Real Estate,Inherited,Second Generation,26,Bachelor’s,No,Low
Lin Rong San,Germany,3.55,Manufacturing,Self-Made,First Generation,34,None,No,Medium
Sean Quinn & family,UK,94.04,Retail,Self-Made,First Generation,51,PhD,Yes,Medium
Yeoh Tiong Lay & family,USA,43.15,Media,Inherited,Multi-Generational,21,Dropout,No,Low
Richard Elman,UK,24.99,Real Estate,Inherited,Second Generation,22,Dropout,No,Medium
Chu Lam Yiu,Japan,91.37,Manufacturing,Inherited,Second Generation,30,Bachelor’s,No,Medium
Sudhir & Samir Mehta,Brazil,44.34,Retail,Self-Made,First Generation,53,Bachelor’s,No,Medium
Ferit Faik Sahenk,Saudi Arabia,9.06,Tech,Self-Made,First Generation,26,Bachelor’s,Yes,Low
Jack Dangermond,Japan,42.15,Energy,Self-Made,First Generation,29,Bachelor’s,No,Medium
Bruce Halle,Germany,27.16,Media,Self-Made,First Generation,36,Bachelor’s,Yes,Low
Yusuf Hamied & family,UK,62.17,Energy,Self-Made,Multi-Generational,41,Dropout,No,High
Stanley Ho & family,Germany,29.31,Retail,Inherited,Second Generation,26,Bachelor’s,No,Medium
Lin Yu-lin,Saudi Arabia,84.38,Finance,Self-Made,Second Generation,54,Master’s,Yes,Low
Philip Niarchos,Thailand,17.8,Media,Inherited,Multi-Generational,37,Dropout,No,Medium
Rajan Raheja & family,Switzerland,97.55,Media,Self-Made,First Generation,53,Dropout,Yes,Medium
Keiichiro Takahara,Japan,17.87,Finance,Self-Made,First Generation,40,Master’s,Yes,Medium
Tang Yiu & family,Japan,85.01,Finance,Self-Made,First Generation,40,Bachelor’s,Yes,Low
Cher Wang & Wenchi Chen,Saudi Arabia,60.92,Media,Self-Made,First Generation,25,Dropout,Yes,Low
Cho Tak Wong & family,USA,97.55,Retail,Inherited,Multi-Generational,18,Dropout,No,Medium
Andrei Guriev,Japan,63.63,Manufacturing,Self-Made,First Generation,47,Bachelor’s,Yes,Low
Han Chang-Woo & family,Brazil,67.97,Real Estate,Self-Made,First Generation,52,Bachelor’s,No,Low
Alan Howard,Japan,29.81,Real Estate,Self-Made,First Generation,34,Dropout,No,Low
Li Shufu,USA,87.77,Finance,Inherited,Multi-Generational,36,Bachelor’s,No,Medium
Li Sze Lim,Saudi Arabia,32.84,Retail,Self-Made,First Generation,33,PhD,Yes,Medium
Or Wai Sheun,Thailand,4.77,Real Estate,Inherited,Multi-Generational,39,None,No,Medium
Zhang Li,Thailand,46.42,Finance,Self-Made,Multi-Generational,42,Dropout,Yes,Low
Semahat Sevim Arsel,India,33.7,Finance,Self-Made,First Generation,51,Dropout,Yes,Medium
Mary Janet Cargill,USA,9.15,Real Estate,Inherited,Second Generation,23,Dropout,No,Medium
Liu Ming Chung,India,62.5,Manufacturing,Self-Made,Second Generation,38,Bachelor’s,No,Medium
Tsai Cheng-da,UK,50.14,Media,Inherited,Second Generation,22,Bachelor’s,No,Low
Tsai Hong-tu,Japan,34.6,Tech,Self-Made,First Generation,33,Dropout,Yes,Medium
T.Y. Tsai,India,29,Real Estate,Self-Made,First Generation,53,Bachelor’s,Yes,Medium
