Name,"Education_Status (Educated, Dropout, Self-Taught)","Highest_Degree (Bachelor’s, Master’s, PhD, None)",Graduation_Year,University_Name,Field_of_Study,Startup_Founded (Yes/No),Industry,Age_First_Million
Frank Lowy,Educated,Bachelor’s,1983.0,University of Tokyo,History,No,Telecom,37
Francisco Ivens de Sa Dias Branco,Educated,Master’s,2000.0,No Formal University,Computer Science,Yes,Finance,29
Patrizio Bertelli,Self-Taught,None,,No Formal University,None,No,Media,29
Emanuele (Lino) Saputo & family,Educated,Bachelor’s,1984.0,University of Tokyo,Engineering,No,Retail,39
Lottie Tham,Educated,Master’s,1978.0,University of Oxford,Computer Science,No,Finance,40
Pansy Ho,Educated,Master’s,1981.0,University of Oxford,Law,No,Real Estate,35
Elisabeth Mohn & family,Educated,Bachelor’s,1977.0,University of Oxford,Economics,Yes,Real Estate,29
Zhang Shiping & family,Educated,Bachelor’s,1965.0,MIT,None,Yes,Media,30
Gayle Cook,Self-Taught,None,,No Formal University,None,Yes,Tech,24
Tung Chee Chen,Educated,Master’s,1981.0,Stanford University,History,No,Retail,31
Kim Jung-Ju & family,Dropout,None,,No Formal University,None,No,Finance,44
Donna MacMillan,Dropout,None,,No Formal University,None,Yes,Media,44
Gwendolyn Sontheim Meyer,Dropout,None,,No Formal University,None,No,Tech,31
Andreas Struengmann,Educated,Bachelor’s,1985.0,University of Oxford,None,Yes,Real Estate,42
Thomas Struengmann,Educated,Master’s,1969.0,No Formal University,Law,Yes,Finance,45
Bertil Hult,Dropout,None,,No Formal University,None,No,Finance,38
David Nahmad,Educated,Master’s,1989.0,ETH Zurich,None,No,Retail,24
Miloud Chaabi & family,Educated,Bachelor’s,2009.0,ETH Zurich,Law,Yes,Real Estate,36
Daniel Mate,Self-Taught,None,,No Formal University,None,Yes,Retail,26
Aristotelis Mistakidis,Educated,Bachelor’s,2007.0,Harvard University,Law,No,Retail,29
Stein Erik Hagen,Educated,Master’s,1985.0,No Formal University,None,No,Retail,40
Guenther Fielmann & family,Educated,Master’s,1968.0,Stanford University,Business,No,Real Estate,28
Laurence Graff & family,Self-Taught,None,,No Formal University,None,Yes,Manufacturing,34
Guenter Herz & family,Educated,Bachelor’s,1996.0,University of Oxford,History,No,Tech,27
Shahid Khan,Educated,Master’s,1962.0,No Formal University,History,No,Tech,27
Nevaldo Rocha & family,Educated,PhD,1984.0,MIT,Engineering,Yes,Retail,43
Alexandre Soares dos Santos & family,Educated,Bachelor’s,1983.0,University of Tokyo,Economics,Yes,Retail,35
Thomas Bruch & family,Educated,PhD,1968.0,University of Tokyo,Law,No,Telecom,24
"John Dorrance, III.",Educated,PhD,1973.0,Stanford University,None,Yes,Retail,35
Jamshyd Godrej,Self-Taught,None,,No Formal University,None,No,Finance,41
Rishad Naoroji,Educated,Bachelor’s,1972.0,University of Tokyo,History,No,Retail,28
Viktor Nusenkis,Educated,Bachelor’s,1964.0,No Formal University,Law,Yes,Manufacturing,32
Tor Peterson,Self-Taught,None,,No Formal University,None,No,Real Estate,36
Othman Benjelloun,Educated,Master’s,1978.0,ETH Zurich,Law,No,Telecom,44
Angela Bennett,Dropout,None,,No Formal University,None,No,Manufacturing,27
Viatcheslav Kantor,Educated,Bachelor’s,1999.0,ETH Zurich,Law,No,Real Estate,43
Michael & Reiner Schmidt-Ruthenbeck,Educated,Master’s,1985.0,ETH Zurich,Economics,Yes,Media,27
Wei Jianjun & family,Educated,Master’s,1978.0,ETH Zurich,Economics,Yes,Real Estate,35
Mohammed Al Issa & family,Self-Taught,None,,No Formal University,None,Yes,Retail,24
Abdullah Al Rajhi & family,Dropout,None,,No Formal University,None,No,Real Estate,36
Anthony Bamford & family,Educated,Bachelor’s,1962.0,University of Oxford,Economics,Yes,Telecom,44
Achmad Hamami & family,Dropout,None,,No Formal University,None,No,Real Estate,32
Eduardo Hochschild,Dropout,None,,No Formal University,None,Yes,Real Estate,23
Jain family,Educated,Bachelor’s,1968.0,MIT,History,No,Real Estate,36
Alexandra Schoerghuber,Educated,Master’s,1975.0,ETH Zurich,Law,Yes,Real Estate,30
Wang Yusuo & family,Self-Taught,None,,No Formal University,None,Yes,Media,22
Alex Beard,Dropout,None,,No Formal University,None,Yes,Retail,25
Lirio Parisotto,Educated,Bachelor’s,1964.0,ETH Zurich,None,Yes,Telecom,30
Yvonne Bauer,Educated,Bachelor’s,1973.0,ETH Zurich,Economics,Yes,Real Estate,44
Silas Chou,Educated,Master’s,1993.0,ETH Zurich,History,Yes,Real Estate,44
Carlo Fidani,Educated,Bachelor’s,1960.0,Harvard University,None,No,Media,28
Jean Claude Gandur,Self-Taught,None,,No Formal University,None,No,Finance,28
Elon Musk,Educated,Bachelor’s,1960.0,MIT,None,Yes,Telecom,43
Stewart and Lynda Resnick,Educated,PhD,1966.0,No Formal University,None,Yes,Telecom,27
Carlos Rodriguez-Pastor,Educated,Master’s,2012.0,MIT,Business,Yes,Manufacturing,28
Georg Schaeffler,Self-Taught,None,,No Formal University,None,No,Real Estate,25
Wong Kwong Yu & family,Educated,Bachelor’s,1980.0,Stanford University,Economics,No,Telecom,32
Siegfried Meister,Educated,Bachelor’s,1974.0,Harvard University,History,No,Telecom,41
Sylvia Stroeher,Educated,Bachelor’s,1973.0,University of Oxford,Business,No,Tech,44
Jason Chang,Educated,PhD,2014.0,University of Tokyo,Engineering,No,Tech,41
Eduardo Eurnekian,Educated,Master’s,1984.0,ETH Zurich,None,Yes,Retail,27
Reid Hoffman,Dropout,None,,No Formal University,None,No,Media,43
Rubens Menin Teixeira de Souza,Educated,Bachelor’s,1998.0,University of Tokyo,Law,No,Manufacturing,42
Mario Moretti Polegato & family,Dropout,None,,No Formal University,None,Yes,Finance,22
Lawrence Stroll,Dropout,None,,No Formal University,None,Yes,Retail,29
Judy Faulkner,Dropout,None,,No Formal University,None,Yes,Manufacturing,24
Woods Staton,Educated,Bachelor’s,1978.0,Stanford University,Engineering,No,Finance,42
Alexander Svetakov,Educated,PhD,1998.0,University of Oxford,History,No,Finance,30
Jiang Bin,Educated,Master’s,1962.0,University of Tokyo,None,No,Telecom,31
Anas Sefrioui,Dropout,None,,No Formal University,None,Yes,Media,45
Martin Viessmann & family,Educated,Bachelor’s,1994.0,Harvard University,History,Yes,Media,43
Wang Muqing & family,Dropout,None,,No Formal University,None,Yes,Manufacturing,34
Jacky Xu,Educated,Bachelor’s,2000.0,Harvard University,Economics,No,Tech,28
Tilman Fertitta,Educated,PhD,1973.0,Stanford University,Economics,Yes,Manufacturing,39
Mitchell Goldhar,Self-Taught,None,,No Formal University,None,Yes,Finance,38
Ma Xingtian,Educated,Master’s,1979.0,Stanford University,History,Yes,Finance,35
Igor Makarov,Educated,Bachelor’s,1978.0,University of Tokyo,Law,Yes,Retail,37
Zelimkhan Mutsoev,Educated,PhD,1985.0,University of Oxford,Engineering,No,Real Estate,35
Gabe Newell,Educated,Master’s,2008.0,Stanford University,None,No,Tech,34
Bob Parsons,Educated,Bachelor’s,1979.0,University of Tokyo,Computer Science,Yes,Manufacturing,45
Robert Pera,Educated,Bachelor’s,1979.0,University of Oxford,Business,No,Manufacturing,41
Jose Isaac Peres & family,Educated,Bachelor’s,2005.0,University of Oxford,Engineering,Yes,Finance,22
Gregorio Perez Companc,Educated,Master’s,2006.0,MIT,Law,No,Real Estate,34
Donald Sterling,Self-Taught,None,,No Formal University,None,No,Real Estate,37
Bulat Utemuratov,Educated,PhD,1964.0,University of Oxford,Economics,Yes,Real Estate,40
Carlos Hank Rhon,Educated,Master’s,1976.0,No Formal University,None,No,Manufacturing,44
Kim Taek-Jin,Educated,Master’s,2004.0,Harvard University,History,No,Real Estate,45
Li Li,Educated,Bachelor’s,2012.0,MIT,History,Yes,Telecom,43
Ralph Sonnenberg & family,Dropout,None,,No Formal University,None,No,Manufacturing,36
Dan Wilks,Self-Taught,None,,No Formal University,None,Yes,Retail,29
Farris Wilks,Dropout,None,,No Formal University,None,Yes,Tech,25
Wu Yiling & family,Dropout,None,,No Formal University,None,No,Real Estate,44
Xiong Xuqiang & family,Educated,PhD,1993.0,Stanford University,Law,Yes,Media,35
Mohamed Al Fayed,Educated,Bachelor’s,1994.0,ETH Zurich,Law,No,Telecom,35
Roman Avdeev,Dropout,None,,No Formal University,None,Yes,Tech,42
Manoj Bhargava,Educated,Master’s,2012.0,Stanford University,Business,Yes,Telecom,34
Che Jianxing & family,Dropout,None,,No Formal University,None,Yes,Finance,37
Eduardo Cojuangco,Educated,Bachelor’s,2004.0,University of Oxford,Computer Science,No,Telecom,31
Peter Cruddas,Dropout,None,,No Formal University,None,Yes,Finance,33
Konstantin Grigorishin,Educated,Bachelor’s,1991.0,Stanford University,Computer Science,Yes,Real Estate,40
David Harding,Self-Taught,None,,No Formal University,None,Yes,Finance,23
Peter Hargreaves,Dropout,None,,No Formal University,None,Yes,Retail,35
Douglas Hsu & family,Educated,PhD,1966.0,No Formal University,History,Yes,Tech,31
Tahir,Educated,Bachelor’s,1964.0,MIT,Economics,Yes,Real Estate,37
Hary Tanoesoedibjo,Dropout,None,,No Formal University,None,Yes,Tech,23
Yu Peidi,Educated,PhD,2002.0,University of Tokyo,None,Yes,Tech,28
Fawzi Al-Kharafi,Educated,Bachelor’s,1998.0,University of Tokyo,None,No,Real Estate,37
Jassim Al-Kharafi,Dropout,None,,No Formal University,None,No,Retail,33
Mohannad Al-Kharafi,Dropout,None,,No Formal University,None,No,Retail,29
Roberto Angelini Rossi,Self-Taught,None,,No Formal University,None,No,Real Estate,41
Maria Ines de Lafuente Lacroze,Educated,Bachelor’s,1981.0,No Formal University,Economics,Yes,Real Estate,44
Sam Goi,Educated,PhD,1968.0,Harvard University,Computer Science,Yes,Media,38
Hong Ra-Hee,Educated,Master’s,2012.0,Stanford University,Business,No,Manufacturing,43
Huang Shih Tsai,Dropout,None,,No Formal University,None,No,Manufacturing,35
"Jim Justice, II.",Dropout,None,,No Formal University,None,Yes,Telecom,32
Ke Xiping & family,Educated,Bachelor’s,1962.0,No Formal University,History,No,Telecom,36
Lee Boo-Jin,Educated,Bachelor’s,2007.0,University of Tokyo,None,Yes,Retail,35
Daniel Loeb,Self-Taught,None,,No Formal University,None,No,Telecom,44
Ma Jianrong & family,Self-Taught,None,,No Formal University,None,No,Retail,41
Krit Ratanarak,Educated,Bachelor’s,1993.0,University of Tokyo,None,Yes,Finance,37
Leonid Simanovsky,Dropout,None,,No Formal University,None,No,Media,43
Ronald Southern,Self-Taught,None,,No Formal University,None,No,Finance,36
Mark Stevens,Self-Taught,None,,No Formal University,None,No,Telecom,39
Petter Stordalen,Educated,Bachelor’s,2008.0,ETH Zurich,History,Yes,Tech,35
Yan Zhi,Self-Taught,None,,No Formal University,None,Yes,Finance,32
Majid Al Futtaim & family,Self-Taught,None,,No Formal University,None,No,Finance,45
Elisabeth Badinter,Educated,Bachelor’s,2002.0,Harvard University,History,Yes,Manufacturing,42
Jim Breyer,Dropout,None,,No Formal University,None,Yes,Media,44
Antonio Jose Carneiro,Educated,Bachelor’s,1996.0,No Formal University,Computer Science,Yes,Telecom,32
Cho Tak Wong,Educated,Master’s,2007.0,ETH Zurich,Law,No,Media,29
"Chase Coleman, III.",Educated,Bachelor’s,1965.0,Harvard University,Economics,No,Telecom,40
David Einhorn,Self-Taught,None,,No Formal University,None,Yes,Manufacturing,33
Valentin Gapontsev & family,Educated,Bachelor’s,1984.0,University of Tokyo,History,Yes,Retail,23
Geng Jianming & family,Educated,Bachelor’s,1984.0,University of Oxford,Business,No,Media,43
Yusuf Hamied,Self-Taught,None,,No Formal University,None,Yes,Manufacturing,43
He Qiaonv,Dropout,None,,No Formal University,None,Yes,Tech,34
Huang Hongyun & family,Educated,PhD,1980.0,Stanford University,None,No,Media,29
James Leininger,Educated,Bachelor’s,1998.0,MIT,Engineering,Yes,Manufacturing,32
Li Tan,Educated,PhD,1967.0,MIT,None,No,Telecom,28
Lin Congying,Educated,Master’s,1984.0,Harvard University,None,No,Finance,44
Kevin Plank,Educated,Master’s,2011.0,Stanford University,History,Yes,Media,27
Eric Sprott,Self-Taught,None,,No Formal University,None,No,Retail,43
Wang Wenxue,Self-Taught,None,,No Formal University,None,Yes,Tech,39
Robert Agostinelli,Educated,Bachelor’s,1990.0,MIT,None,No,Real Estate,24
Michael Ashcroft,Educated,Bachelor’s,2004.0,Stanford University,History,No,Tech,26
Sara Blakely,Educated,Master’s,2015.0,No Formal University,Economics,No,Real Estate,42
Cheung Yan,Educated,Bachelor’s,2004.0,University of Oxford,Business,Yes,Finance,28
Chung Yong-Jin,Self-Taught,None,,No Formal University,None,Yes,Telecom,42
K. Dinesh,Educated,Master’s,1996.0,Harvard University,History,Yes,Real Estate,35
Charles Dunstone,Dropout,None,,No Formal University,None,Yes,Tech,25
Fan Zhaoxia,Educated,Bachelor’s,1963.0,Harvard University,Computer Science,No,Manufacturing,35
Mikhail Fedyaev,Self-Taught,None,,No Formal University,None,No,Finance,23
Henry Fong Yun Wah,Educated,Bachelor’s,1979.0,ETH Zurich,Computer Science,Yes,Telecom,45
Vladimir Gruzdev,Educated,Master’s,2010.0,ETH Zurich,History,Yes,Media,36
Mehmet Nazif Gunal,Self-Taught,None,,No Formal University,None,No,Retail,42
Lee Jay-Hyun,Dropout,None,,No Formal University,None,No,Tech,25
Lee Seo-Hyun,Educated,Bachelor’s,2001.0,ETH Zurich,Computer Science,Yes,Tech,40
Liu Canglong,Educated,Master’s,1977.0,ETH Zurich,History,Yes,Media,40
Niu Yishun,Educated,Bachelor’s,2001.0,ETH Zurich,Law,No,Manufacturing,26
Maxim Nogotkov,Educated,Bachelor’s,2015.0,No Formal University,Computer Science,Yes,Real Estate,44
Roberto Ongpin,Educated,Master’s,1994.0,No Formal University,None,No,Tech,38
Petro Poroshenko,Self-Taught,None,,No Formal University,None,Yes,Media,28
Que Wenbin & family,Self-Taught,None,,No Formal University,None,Yes,Finance,41
Nathaniel Rothschild,Dropout,None,,No Formal University,None,Yes,Manufacturing,36
Chanchai Ruayrungruang,Self-Taught,None,,No Formal University,None,Yes,Tech,26
Paul Singer,Educated,Master’s,1965.0,University of Tokyo,Business,Yes,Tech,25
Djoko Susanto,Educated,Bachelor’s,1994.0,Stanford University,Law,Yes,Finance,31
Alain Taravella,Educated,PhD,2010.0,MIT,History,No,Finance,40
Sergei Tsikalyuk,Educated,Bachelor’s,1982.0,University of Tokyo,Computer Science,Yes,Telecom,25
Wu Chung-Yi,Dropout,None,,No Formal University,None,Yes,Finance,23
Denise York,Educated,Bachelor’s,2013.0,Stanford University,Engineering,Yes,Manufacturing,33
Bernard Arnault & family,Educated,Master’s,1987.0,Harvard University,Computer Science,No,Retail,34
Thomas & Raymond Kwok,Dropout,None,,No Formal University,None,Yes,Real Estate,36
Dirce Navarro De Camargo & family,Educated,Bachelor’s,1987.0,ETH Zurich,Engineering,Yes,Tech,42
Rupert Murdoch & family,Dropout,None,,No Formal University,None,Yes,Telecom,33
Robert & Philip Ng,Educated,Master’s,1992.0,University of Tokyo,Engineering,No,Media,26
Michael Kadoorie,Educated,Master’s,1984.0,Harvard University,Computer Science,Yes,Tech,30
Joao Roberto Marinho,Educated,Bachelor’s,1995.0,University of Oxford,Economics,No,Telecom,24
Roberto Irineu Marinho,Educated,Bachelor’s,1977.0,Stanford University,None,Yes,Retail,22
Jose Roberto Marinho,Educated,PhD,1974.0,University of Oxford,Economics,Yes,Finance,38
Hinduja Brothers,Dropout,None,,No Formal University,None,No,Manufacturing,37
Elaine Marshall & family,Educated,Bachelor’s,1996.0,No Formal University,Business,No,Manufacturing,25
Peter Woo,Self-Taught,None,,No Formal University,None,Yes,Retail,34
Eva Gonda de Rivera & family,Educated,PhD,2003.0,No Formal University,Computer Science,No,Real Estate,40
Eduardo Belmont Anderson,Educated,Bachelor’s,1992.0,ETH Zurich,Engineering,Yes,Finance,34
Margarita Louis-Dreyfus & family,Educated,Bachelor’s,2006.0,ETH Zurich,Business,Yes,Telecom,41
Jorn Rausing,Educated,Bachelor’s,1988.0,MIT,None,No,Manufacturing,31
Tang Yiu,Educated,Bachelor’s,2005.0,No Formal University,Engineering,No,Telecom,24
Finn Rausing,Self-Taught,None,,No Formal University,None,No,Media,32
Kirsten Rausing,Self-Taught,None,,No Formal University,None,Yes,Tech,45
Roberto Civita & family,Educated,Bachelor’s,1996.0,Harvard University,Economics,No,Manufacturing,37
Walter Faria,Self-Taught,None,,No Formal University,None,Yes,Real Estate,43
Kwee brothers,Educated,Master’s,1990.0,University of Oxford,Computer Science,Yes,Real Estate,22
Heinz-Horst Deichmann & family,Dropout,None,,No Formal University,None,Yes,Telecom,35
Emmanuel Besnier,Dropout,None,,No Formal University,None,No,Finance,45
Bernardo Matte,Dropout,None,,No Formal University,None,Yes,Manufacturing,36
Patricia Matte,Self-Taught,None,,No Formal University,None,Yes,Finance,24
Maria Luisa Solari Falabella & family,Educated,Bachelor’s,1982.0,Harvard University,Law,No,Real Estate,27
Samuel Yin,Educated,Bachelor’s,2003.0,Stanford University,None,Yes,Retail,31
Adi Godrej,Educated,Bachelor’s,1960.0,ETH Zurich,History,No,Finance,31
Tom & Judy Love,Self-Taught,None,,No Formal University,None,Yes,Real Estate,41
Heinz-Georg Baus,Self-Taught,None,,No Formal University,None,Yes,Retail,22
Juan Cuneo Solari & family,Dropout,None,,No Formal University,None,No,Retail,33
Teresa Matilde Solari Falabella & family,Educated,Bachelor’s,2006.0,Stanford University,Law,No,Tech,25
Keiichiro Takahara & family,Educated,Bachelor’s,1993.0,University of Tokyo,Engineering,No,Tech,37
Abdulla bin Ahmad Al Ghurair & family,Educated,Master’s,1976.0,Stanford University,Law,No,Retail,31
Nathan Kirsh,Educated,PhD,1994.0,No Formal University,Business,Yes,Real Estate,43
Lu Guanqiu & family,Self-Taught,None,,No Formal University,None,Yes,Finance,33
Piero Solari Donaggio & family,Dropout,None,,No Formal University,None,Yes,Retail,44
Renzo Rosso,Educated,Bachelor’s,1962.0,Stanford University,Law,No,Telecom,32
Alvaro Saieh Bendeck,Self-Taught,None,,No Formal University,None,Yes,Telecom,28
David Consunji,Self-Taught,None,,No Formal University,None,No,Tech,35
Farhad Moshiri,Educated,Bachelor’s,2003.0,ETH Zurich,Engineering,No,Media,34
Yeoh Tiong Lay,Educated,PhD,2013.0,No Formal University,Law,Yes,Tech,25
Cai Kui,Dropout,None,,No Formal University,None,Yes,Finance,33
Theo Mueller,Educated,Master’s,1975.0,Harvard University,History,No,Real Estate,41
Prince Sultan bin Mohammed bin Saud Al Kabeer,Dropout,None,,No Formal University,None,No,Real Estate,31
Law Kar Po,Educated,Bachelor’s,1987.0,Stanford University,Computer Science,Yes,Telecom,38
Ana Maria Marcondes Penido Sant'Anna,Educated,Bachelor’s,1967.0,No Formal University,Business,Yes,Telecom,35
Ye Chenghai & family,Educated,Master’s,2011.0,Harvard University,History,Yes,Finance,40
Fong Yun Wah,Dropout,None,,No Formal University,None,Yes,Finance,25
Sebastian Piñera,Educated,Bachelor’s,1972.0,Stanford University,Law,Yes,Manufacturing,28
Anders Holch Povlsen,Educated,Bachelor’s,1986.0,University of Tokyo,Business,Yes,Finance,32
Rafael Del Pino y Calvo-Sotelo,Educated,Bachelor’s,1987.0,ETH Zurich,Economics,No,Tech,30
Jaime Gilinski Bacal,Educated,PhD,2005.0,University of Oxford,Engineering,No,Tech,27
Rufino Vigil Gonzalez,Educated,Bachelor’s,2007.0,MIT,Engineering,No,Real Estate,30
Jose and Francisco Jose Calderon Rojas,Self-Taught,None,,No Formal University,None,Yes,Real Estate,27
Pan Zhengmin & family,Educated,Bachelor’s,1981.0,MIT,Economics,Yes,Telecom,22
Juan Fernando Belmont Anderson,Dropout,None,,No Formal University,None,Yes,Retail,33
Christian & Olivier Courtin-Clarins & family,Dropout,None,,No Formal University,None,No,Telecom,40
Fu Liquan & family,Educated,Bachelor’s,2001.0,MIT,Engineering,No,Tech,25
Dan Gertler,Educated,Master’s,1967.0,Harvard University,Computer Science,Yes,Finance,44
Xu Jingren,Educated,Bachelor’s,1994.0,University of Tokyo,Business,No,Telecom,37
Nicolas Puech,Self-Taught,None,,No Formal University,None,Yes,Manufacturing,45
Alberto Benavides & family,Educated,Bachelor’s,1986.0,University of Tokyo,History,No,Media,39
Eva Maria Bucher-Haefner,Self-Taught,None,,No Formal University,None,No,Real Estate,42
Andrew & Peggy Cherng,Dropout,None,,No Formal University,None,No,Tech,37
Lucio and Susan Co,Educated,PhD,1992.0,No Formal University,Economics,Yes,Manufacturing,30
Domenico Dolce,Dropout,None,,No Formal University,None,Yes,Retail,23
Isabel dos Santos,Self-Taught,None,,No Formal University,None,Yes,Media,44
Stefano Gabbana,Educated,PhD,1991.0,ETH Zurich,Computer Science,Yes,Finance,36
Martin Haefner,Dropout,None,,No Formal University,None,No,Manufacturing,34
Wolfgang Leitner,Educated,Bachelor’s,1971.0,Harvard University,Engineering,Yes,Manufacturing,44
Edwin Leong,Educated,PhD,1992.0,University of Oxford,Computer Science,No,Retail,29
Michael Pieper,Educated,Bachelor’s,1967.0,Stanford University,Engineering,Yes,Manufacturing,29
Thongma Vijitpongpun,Educated,Master’s,1977.0,Stanford University,Business,Yes,Telecom,29
Dirk Rossmann & family,Self-Taught,None,,No Formal University,None,Yes,Manufacturing,25
Liu Zhongtian & family,Educated,Bachelor’s,1998.0,MIT,Business,Yes,Telecom,39
Prasert Prasarttong-Osoth,Educated,Bachelor’s,1999.0,MIT,Business,Yes,Telecom,22
Luis Enrique Yarur Rey,Self-Taught,None,,No Formal University,None,Yes,Telecom,30
Mario Brescia Cafferata,Educated,PhD,1994.0,ETH Zurich,None,Yes,Telecom,45
Peter Gilgan,Dropout,None,,No Formal University,None,No,Media,42
Jimmy Haslam,Dropout,None,,No Formal University,None,Yes,Media,36
Maja Oeri,Educated,Bachelor’s,1997.0,ETH Zurich,None,No,Finance,36
Helena Revoredo,Educated,Master’s,1983.0,Stanford University,Law,Yes,Real Estate,27
Sandro Veronesi,Educated,PhD,1971.0,Stanford University,Computer Science,No,Telecom,27
Juan-Miguel Villar Mir & family,Dropout,None,,No Formal University,None,Yes,Retail,27
Lei Jun,Self-Taught,None,,No Formal University,None,No,Telecom,41
Carl Bennet,Educated,Bachelor’s,1987.0,Stanford University,Law,No,Tech,45
Theodore Rachmat & family,Educated,Master’s,2011.0,Harvard University,Computer Science,Yes,Real Estate,34
Michael Rubin,Educated,PhD,2008.0,No Formal University,History,Yes,Finance,29
Thaksin Shinawatra,Dropout,None,,No Formal University,None,No,Finance,42
"Robert Coyiuto, Jr.",Educated,Master’s,1960.0,No Formal University,Economics,No,Media,44
Susan Hirt Hagen,Educated,Bachelor’s,2008.0,University of Tokyo,Law,Yes,Retail,32
Vito Rodriguez Rodriguez,Educated,Bachelor’s,1994.0,ETH Zurich,Business,Yes,Tech,23
Jean-Michel Besnier,Educated,Bachelor’s,1992.0,No Formal University,Law,Yes,Tech,29
Marie Besnier Beauvalot,Educated,Bachelor’s,1969.0,MIT,History,No,Finance,43
Ciputra & family,Educated,PhD,2012.0,Harvard University,Law,Yes,Tech,29
William Erbey,Educated,PhD,1982.0,Harvard University,Computer Science,No,Tech,33
Victor Gradin & family,Self-Taught,None,,No Formal University,None,Yes,Tech,41
Xiu Li Hawken,Educated,Bachelor’s,1981.0,University of Tokyo,Engineering,No,Finance,43
Hanni Toosbuy Kasprzak,Dropout,None,,No Formal University,None,No,Retail,25
Stephen Lansdown,Educated,Bachelor’s,1983.0,MIT,None,Yes,Media,22
Lim Oon Kuin,Self-Taught,None,,No Formal University,None,Yes,Media,42
Ezra Nahmad,Educated,Bachelor’s,1988.0,ETH Zurich,None,No,Media,24
Phillip Ragon,Educated,Bachelor’s,2006.0,MIT,Engineering,Yes,Retail,26
K. Anji Reddy & family,Educated,Bachelor’s,1980.0,University of Oxford,Law,No,Telecom,35
Desmond Sacco,Dropout,None,,No Formal University,None,No,Finance,42
Yasumitsu Shigeta & family,Self-Taught,None,,No Formal University,None,No,Real Estate,39
Pham Nhat Vuong,Educated,Master’s,1994.0,University of Tokyo,None,Yes,Real Estate,24
M.A. Yusuff Ali,Educated,Bachelor’s,1996.0,No Formal University,History,Yes,Telecom,24
Wei Shaojun,Educated,Bachelor’s,2014.0,Harvard University,Business,No,Finance,25
Paolo Bulgari,Educated,Bachelor’s,2014.0,No Formal University,None,Yes,Retail,36
Vanich Chaiyawan,Educated,PhD,1986.0,Stanford University,Engineering,Yes,Tech,45
Chen Yung-Tai,Educated,PhD,2005.0,Stanford University,Law,Yes,Telecom,35
Juan Carlos Escotet,Educated,Master’s,2002.0,University of Tokyo,Economics,No,Media,41
Ravi Jaipuria,Self-Taught,None,,No Formal University,None,Yes,Finance,33
Koh Wee Meng,Educated,Bachelor’s,1960.0,University of Tokyo,None,No,Finance,27
Liang Yunchao,Educated,Bachelor’s,1993.0,ETH Zurich,Business,No,Real Estate,45
Max Michel Suberville,Educated,Master’s,2004.0,Harvard University,Business,Yes,Finance,23
Neal Patterson,Self-Taught,None,,No Formal University,None,Yes,Manufacturing,27
Jorge Rodriguez Rodriguez,Educated,Bachelor’s,2013.0,University of Oxford,History,No,Manufacturing,44
Boris Rotenberg,Self-Taught,None,,No Formal University,None,No,Telecom,29
Nobutada Saji,Educated,Bachelor’s,1965.0,University of Tokyo,Law,Yes,Telecom,28
Fayez Sarofim,Educated,Bachelor’s,1985.0,Stanford University,None,Yes,Media,44
Tony Tan Caktiong & family,Educated,Bachelor’s,2001.0,University of Oxford,None,No,Finance,23
Andrei Bokarev,Self-Taught,None,,No Formal University,None,No,Finance,30
Ana Maria Brescia Cafferata,Educated,Bachelor’s,1998.0,No Formal University,None,No,Tech,29
Rosa Brescia Cafferata,Educated,Master’s,1964.0,Stanford University,Computer Science,Yes,Media,31
Hubert D'Ornano,Educated,Bachelor’s,1962.0,Stanford University,Business,Yes,Manufacturing,40
D. Leopoldo Del Pino y Calvo-Sotelo,Educated,PhD,1990.0,Harvard University,Economics,No,Tech,31
Murali Divi,Educated,Bachelor’s,1978.0,University of Oxford,Computer Science,Yes,Retail,34
Juan Gallardo Thurlow,Dropout,None,,No Formal University,None,Yes,Telecom,43
Andreas Halvorsen,Educated,Bachelor’s,2007.0,University of Tokyo,Economics,Yes,Tech,40
Keeree Kanjanapas,Dropout,None,,No Formal University,None,No,Manufacturing,23
Jose Llado Fernandez-Urrutia,Educated,Bachelor’s,1989.0,Harvard University,History,Yes,Telecom,29
Ranjan Pai,Self-Taught,None,,No Formal University,None,Yes,Media,44
Silvio Santos,Educated,PhD,1993.0,ETH Zurich,Computer Science,No,Real Estate,26
Shaul Shani,Educated,Bachelor’s,2014.0,University of Oxford,Economics,No,Finance,28
Wang Yong,Self-Taught,None,,No Formal University,None,Yes,Finance,40
Allan Wong,Dropout,None,,No Formal University,None,No,Tech,22
Nicholas Woodman,Educated,PhD,1995.0,No Formal University,None,Yes,Real Estate,25
"Richard Yuengling, Jr.",Educated,Bachelor’s,1978.0,Stanford University,Economics,No,Manufacturing,33
"William Ford, Sr.",Educated,Bachelor’s,2005.0,No Formal University,Law,No,Real Estate,30
Sergei Kislov,Dropout,None,,No Formal University,None,No,Telecom,26
Ni Zhaoxing,Self-Taught,None,,No Formal University,None,No,Tech,33
Sun Weijie,Self-Taught,None,,No Formal University,None,No,Real Estate,41
Graham Weston,Self-Taught,None,,No Formal University,None,Yes,Real Estate,33
William Ackman,Educated,Master’s,1980.0,MIT,Economics,No,Manufacturing,36
Maria Del Pino y Calvo-Sotelo,Educated,PhD,2003.0,Harvard University,Computer Science,Yes,Telecom,29
Robert Duggan,Dropout,None,,No Formal University,None,Yes,Finance,25
Anne Gittinger,Educated,Bachelor’s,1985.0,No Formal University,Economics,Yes,Real Estate,36
